Xuanyu Bai
Ming Gong
Yaobo Liang
Nan Duan
Yan Fu
Daxin Jiang
Yifan Gao
Chien-Sheng Wu
Shafiq Joty
Caiming Xiong
Richard Socher
Irwin King
Michael Lyu
Steven C.H. Hoi
Mor Geva
Ankit Gupta
Jonathan Berant
Souvik Kundu
Qian Lin
Hwee Tou Ng
Yunshi Lan
Jing Jiang
Shen-yun Miao
Chao-Chun Liang
Keh-Yih Su
Yanzhi Yi
Hangyu Deng
Jinglu Hu
Ryokan Ri
Yoshimasa Tsuruoka
Terra Blevins
Luke Zettlemoyer
Srijan Bansal
Vishal Garimella
Ayush Suhane
Jasabanta Patro
Animesh Mukherjee
Lianwei Wu
Yuan Rao
yongqiang zhao
Hao Liang
Ambreen Nazir
Zeming Liu
Zheng-Yu Niu
Guangfeng Yan
Lu Fan
Qimai Li
Han Liu
Xiaotong Zhang
Xiao-Ming Wu
Albert Y.S. Lam
Yixin Cao
Ruihao Shui
Liangming Pan
Min-Yen Kan
Zhiyuan Liu
Tat-Seng Chua
Zhenyi Wang
Xiaoyang Wang
Bang An
Dong Yu
Ruiying Geng
Binhua Li
Wang Chen
Hou Pong Chan
Chunping Ma
Dingkun Long
Guangwei Xu
Ning Ding
Haoyu Zhang
Pengjun Xie
Gongshen Liu
Florian Boudin
Ygor Gallina
Akiko Aizawa
Valentin Hofmann
Hinrich Schütze
Janet Pierrehumbert
Farah Essaidi
Amal Fethi
Matthieu Futeral
Benjamin Muller
Pedro Javier Ortiz Suárez
Benoît Sagot
Abhishek Srivastava
Janek Bevendorff
Khalid Al Khatib
Martin Potthast
Benno Stein
Dmitry Nikolaev
Ofir Arviv
Taelin Karidi
Neta Kenneth
Veronika Mitnik
Lilja Maria Saeboe
Omri Abend
Serra Sinem Tekiroğlu
Yi-Ling Chung
Marco Guerini
Piotr Rybak
Robert Mroczkowski
Janusz Tracz
Ireneusz Gawlik
Sven Buechel
Susanna Rücker
Udo Hahn
Marina Fomicheva
Lucia Specia
Francisco Guzmán
Shu Okabe
Frédéric Blain
Gözde Gül Şahin
Yova Kementchedjhieva
Phillip Rust
Iryna Gurevych
Annemarie Friedrich
Heike Adel
Federico Tomazic
Johannes Hingerl
Renou Benteau
Anika Marusczyk
Lukas Lange
Vittorio Castelli
Rishav Chakravarti
Saswati Dana
Anthony Ferritto
Radu Florian
Martin Franz
Dinesh Garg
Dinesh Khandelwal
Scott McCarley
Michael McCawley
Mohamed Nasr
Lin Pan
Cezar Pendus
