Name,Gender,Race
Martha Palmer,female,B_NL
Rebecca Hwa,female,A
Sebastian Riedel,male,HL
Yuki Arase,female,A
Junichi Tsujii,female,A
Tianze Shi,female,A
Liang Huang,male,A
Lillian Lee,female,A
Junjie Cao,male,A
Sheng Huang,female,A
Weiwei Sun,female,A
Xiaojun Wan,male,A
Yuhao Zhang,male,A
Victor Zhong,male,A
Danqi Chen,female,A
Gabor Angeli,male,W_NL
Christopher D. Manning,male,W_NL
Liyuan Liu,male,A
Xiang Ren,male,A
Qi Zhu,male,A
Shi Zhi,female,A
Huan Gui,male,A
Heng Ji,male,A
Jiawei Han,male,A
Zhongqing Wang,male,A
Yue Zhang,female,A
Ching-Yun Chang,male,A
Chuanqi Tan,male,A
Furu Wei,female,A
Pengjie Ren,male,A
Weifeng Lv,male,A
Ming Zhou,male,A
Tommaso Pasini,male,W_NL
Roberto Navigli,male,HL
Siva Reddy,male,A
Oscar Täckström,male,HL
Slav Petrov,male,W_NL
Mark Steedman,male,W_NL
Mirella Lapata,female,HL
Yuval Pinter,male,W_NL
Robert Guthrie,male,W_NL
Jacob Eisenstein,male,W_NL
Ehsaneddin Asgari,male,A
Hinrich Schütze,male,W_NL
Kazuma Hashimoto,female,A
Yoshimasa Tsuruoka,female,A
Rongxiang Weng,male,A
Shujian Huang,male,A
Zaixiang Zheng,male,A
Xinyu Dai,female,A
Jiajun Chen,male,A
Cong Duy Vu Hoang,male,A
Gholamreza Haffari,male,A
Trevor Cohn,male,W_NL
Nikita Kitaev,male,A
Dan Klein,male,W_NL
Afshin Rahimi,male,A
Timothy Baldwin,male,W_NL
Trevor Cohn,male,W_NL
Xuwang Yin,male,A
Vicente Ordonez,male,HL
Kenton Lee,male,A
Luheng He,female,A
Mike Lewis,male,B_NL
Luke Zettlemoyer,male,W_NL
Jiwei Li,male,A
Dan Jurafsky,male,W_NL
Kexiang Wang,male,A
Tianyu Liu,male,A
Zhifang Sui,female,A
Baobao Chang,male,A
Ana Marasović,female,HL
Leo Born,male,W_NL
Juri Opitz,male,W_NL
Anette Frank,female,W_NL
Kim Anh Nguyen,male,A
Maximilian Köper,male,W_NL
Sabine Schulte im Walde,female,W_NL
Ngoc Thang Vu,male,A
Zhe Zhao,male,A
Tao Liu,male,A
Shen Li,male,A
Bofang Li,male,A
Xiaoyong Du,male,A
Julien Tissier,male,B_NL
Christophe Gravier,male,B_NL
Amaury Habrard,male,B_NL
Tzu-Ray Su,female,A
Hung-Yi Lee,female,A
John Wieting,male,W_NL
Jonathan Mallinson,male,W_NL
Kevin Gimpel,male,W_NL
Jinxing Yu,male,A
Xun Jian,male,A
Hao Xin,male,A
Yangqiu Song,male,A
Arihant Gupta,male,A
