Name,Gender,Race
Jian Su,male,A
Kevin Duh,male,A
Xavier Carreras,male,HL
James Cross,male,W_NL
Liang Huang,male,A
Pascual Martínez-Gómez,male,HL
Yusuke Miyao,male,A
Jessica Ficler,female,W_NL
Yoav Goldberg,male,W_NL
Hiroshi Noji,male,A
Yusuke Miyao,male,A
Mark Johnson,male,B_NL
Ruihong Huang,female,A
Ignacio Cases,male,HL
Dan Jurafsky,male,W_NL
Cleo Condoravdi,female,B_NL
Ellen Riloff,female,W_NL
Nikita Bhutani,male,A
H. V. Jagadish,male,A
Dragomir Radev,male,W_NL
Yunlun Yang,female,A
Yunhai Tong,male,A
Shulei Ma,female,A
Zhi-Hong Deng,male,A
Aldrian Obaja Muis,male,A
Wei Lu,male,A
Michael Hahn,male,W_NL
Frank Keller,male,W_NL
Libby Barak,female,W_NL
Adele E. Goldberg,female,W_NL
Suzanne Stevenson,female,W_NL
Tao Lei,male,A
Regina Barzilay,female,W_NL
Tommi Jaakkola,male,A
Pengfei Liu,male,A
Xipeng Qiu,male,A
Xuanjing Huang,male,A
Adam Trischler,male,W_NL
Zheng Ye,male,A
Xingdi Yuan,female,A
Philip Bachman,male,W_NL
Alessandro Sordoni,male,HL
Kaheer Suleman,male,A
Rebecca Sharp,female,W_NL
Mihai Surdeanu,male,A
Peter Jansen,male,W_NL
Peter Clark,male,W_NL
Michael Hammond,male,W_NL
Semih Yavuz,male,A
Izzeddin Gur,male,A
Yu Su,female,A
Mudhakar Srivatsa,male,A
Xifeng Yan,female,A
Jayant Krishnamurthy,male,A
Oyvind Tafjord,male,B_NL
Aniruddha Kembhavi,male,A
Ottokar Tilk,male,W_NL
Vera Demberg,female,W_NL
Asad Sayeed,male,A
Dietrich Klakow,male,W_NL
Stefan Thater,male,W_NL
Lin Qiu,female,A
Kewei Tu,male,A
Yong Yu,male,A
Shu Guo,male,A
Quan Wang,male,A
Lihong Wang,female,A
Bin Wang,male,A
Li Guo,female,A
Chloé Braud,female,W_NL
Pascal Denis,male,B_NL
Duyu Tang,female,A
Bing Qin,male,A
Ting Liu,female,A
Lei Shu,female,A
Bing Liu,male,A
Hu Xu,male,A
Annice Kim,female,A
Jianfei Yu,male,A
Jing Jiang,male,A
Xinjie Zhou,female,A
Xiaojun Wan,male,A
Jianguo Xiao,male,A
Luisa Bentivogli,female,HL
Arianna Bisazza,female,HL
Mauro Cettolo,male,HL
Marcello Federico,male,HL
Orhan Firat,male,A
Baskaran Sankaran,male,A
Yaser Al-onaizan,male,A
Fatos T. Yarman Vural,male,A
Kyunghyun Cho,female,A
Mingxuan Wang,male,A
Zhengdong Lu,male,A
Hang Li,female,A
Qun Liu,female,A
Zita Marinho,female,A
André F. T. Martins,male,B_NL
Shay B. Cohen,female,W_NL
Noah A. Smith,male,W_NL
Shyam Upadhyay,male,A
Ming-Wei Chang,male,A
Kai-Wei Chang,male,A
Wen-tau Yih,female,A
Jeniya Tabassum,female,A
Alan Ritter,male,W_NL
Wei Xu,male,A
