Name,Gender,Race
Ron Kaplan,male,W_NL
Jill Burstein,female,W_NL
Mary Harper,female,W_NL
Gerald Penn,male,B_NL
Steve Renals,male,W_NL
Yi Zhang,male,A
Timothy Baldwin,male,W_NL
Valia Kordoni,female,A
David Martinez,male,HL
Jeremy Nicholson,male,W_NL
Slav Petrov,male,W_NL
David McClosky,male,W_NL
Eugene Charniak,male,W_NL
Mark Johnson,male,B_NL
Zhongqiang Huang,male,A
Mary Harper,female,W_NL
Shasha Xie,female,A
Yang Liu,male,A
Taniya Mishra,female,A
Srinivas Bangalore,male,A
Jingjing Liu,female,A
Stephanie Seneff,female,W_NL
Victor Zue,male,HL
Sameer Singh,male,A
Dustin Hillard,male,W_NL
Chris Leggetter,male,W_NL
Ioannis P. Klapaftis,male,W_NL
Suresh Manandhar,male,A
Yansong Feng,male,A
Mirella Lapata,female,HL
David Newman,male,W_NL
Jey Han Lau,male,A
Karl Grieser,male,W_NL
Timothy Baldwin,male,W_NL
Joseph Reisinger,male,W_NL
Raymond J. Mooney,male,W_NL
Adam Pauls,male,W_NL
Dan Klein,male,W_NL
David Chiang,male,A
Kevin Knight,male,B_NL
David Burkett,male,W_NL
John Blitzer,male,W_NL
Dan Klein,male,W_NL
Deyi Xiong,male,A
Min Zhang,male,A
Haizhou Li,male,A
Stanley Kok,male,W_NL
Chris Brockett,male,W_NL
Alla Rozovskaya,female,W_NL
Dan Roth,male,W_NL
Michael Gamon,male,HL
Alan Ritter,male,W_NL
Colin Cherry,male,B_NL
Bill Dolan,male,W_NL
Saša Petrović,female,W_NL
Miles Osborne,male,W_NL
Victor Lavrenko,male,HL
Ariya Rastrow,female,A
Frederick Jelinek,male,W_NL
Abhinav Sethy,male,A
Bhuvana Ramabhadran,male,A
Maria Shugrina,female,HL
Scott Novotney,male,B_NL
Chris Callison-Burch,male,W_NL
Carolina Parada,female,HL
Mark Dredze,male,W_NL
Denis Filimonov,male,W_NL
Frederick Jelinek,male,W_NL
Arun Ahuja,male,A
Doug Downey,male,W_NL
Timothy Baldwin,male,W_NL
Marco Lui,male,A
Phil Blunsom,male,B_NL
Trevor Cohn,male,W_NL
Marine Carpuat,female,W_NL
Mona Diab,female,A
Wanxiang Che,male,A
Ting Liu,female,A
Yongqiang Li,male,A
Michael Denkowski,male,W_NL
Alon Lavie,male,A
Scott Drellishak,male,W_NL
Chris Dyer,male,W_NL
Sumukh Ghodke,male,A
Steven Bird,male,W_NL
Carlos Gómez-Rodríguez,male,HL
Marco Kuhlmann,male,HL
Giorgio Satta,male,HL
Heng Ji,male,A
Zheng Chen,male,A
Jonathan Feldman,male,W_NL
Antonio Gonzalez,male,HL
Ralph Grishman,male,W_NL
