Name,Gender,Race
Hinrich Schuetze,male,W_NL
Pascale Fung,female,A
Massimo Poesio,male,HL
Yang Liu,male,A
Kun Wang,male,A
Chengqing Zong,male,A
Keh-Yih Su,female,A
Thomas Schoenemann,male,W_NL
Trevor Cohn,male,W_NL
Lucia Specia,female,HL
Brian Roark,male,W_NL
Cyril Allauzen,male,B_NL
Michael Riley,male,W_NL
Haonan Yu,male,A
Jeffrey Mark Siskind,male,W_NL
Mehdi Manshadi,male,A
Daniel Gildea,male,W_NL
James Allen,male,W_NL
Qi Li,male,A
Heng Ji,male,A
Liang Huang,male,A
Gabor Angeli,male,W_NL
Jakob Uszkoreit,male,W_NL
Camille Guinaudeau,female,B_NL
Michael Strube,male,W_NL
Elijah Mayfield,male,B_NL
David Adamson,male,W_NL
Carolyn Penstein Rosé,female,W_NL
Greg Durrett,male,W_NL
David Hall,male,W_NL
Dan Klein,male,W_NL
Meishan Zhang,male,A
Yue Zhang,female,A
Wanxiang Che,male,A
Ting Liu,female,A
Francesco Sartorio,male,HL
Giorgio Satta,male,HL
Joakim Nivre,male,W_NL
Matthias Büchse,male,W_NL
Alexander Koller,male,W_NL
Heiko Vogler,male,A
Isao Goto,male,A
Masao Utiyama,male,A
Eiichiro Sumita,male,A
Akihiro Tamura,male,A
Sadao Kurohashi,male,A
Nan Yang,female,A
Shujie Liu,female,A
Mu Li,male,A
Ming Zhou,male,A
Nenghai Yu,male,A
Wang Ling,male,A
Guang Xiang,male,A
Chris Dyer,male,W_NL
Alan Black,male,W_NL
Isabel Trancoso,female,HL
Jun Zhu,male,A
Xun Zheng,male,A
Bo Zhang,male,A
Miguel Almeida,male,HL
André Martins,male,B_NL
Taylor Berg-Kirkpatrick,female,B_NL
Greg Durrett,male,W_NL
Dan Klein,male,W_NL
Joohyun Kim,female,A
Raymond Mooney,male,W_NL
Omri Abend,male,A
Ari Rappoport,male,W_NL
Weiwei Guo,female,A
Hao Li,male,A
Heng Ji,male,A
Mona Diab,female,A
Cristian Danescu-Niculescu-Mizil,male,HL
Moritz Sudhof,male,W_NL
Dan Jurafsky,male,W_NL
Jure Leskovec,male,W_NL
Christopher Potts,male,W_NL
Isaac Persing,male,A
Vincent Ng,male,A
Camillo Lugaresi,male,HL
Barbara Di Eugenio,female,HL
David Mareček,male,W_NL
Milan Straka,male,A
Yuan Zhang,male,A
Regina Barzilay,female,W_NL
Amir Globerson,male,A
Ben Swanson,male,W_NL
Elif Yamangil,female,A
Eugene Charniak,male,W_NL
Stuart Shieber,male,W_NL
Spence Green,male,B_NL
Sida Wang,female,A
Daniel Cer,male,W_NL
Christopher D. Manning,male,W_NL
Minwei Feng,male,A
Jan-Thorsten Peter,male,W_NL
Hermann Ney,male,W_NL
Yang Feng,male,A
Trevor Cohn,male,W_NL
Michael Lucas,male,W_NL
Doug Downey,male,W_NL
David Bamman,male,W_NL
Brendan O’Connor,male,W_NL
Noah A. Smith,male,W_NL
Sujith Ravi,male,A
Stephen Tratz,male,W_NL
Eduard Hovy,male,W_NL
Katsuma Narisawa,female,A
Yotaro Watanabe,male,A
Junta Mizuno,female,A
Naoaki Okazaki,female,A
Kentaro Inui,male,A
Jackie Chi Kit Cheung,male,A
Gerald Penn,male,B_NL
Ahmet Aker,male,W_NL
Monica Paramita,female,A
Rob Gaizauskas,male,W_NL
Kashyap Popat,male,A
Balamurali A.R,male,A
Pushpak Bhattacharyya,male,A
Gholamreza Haffari,male,A
Qingqing Cai,female,A
Alexander Yates,male,W_NL
Muhua Zhu,male,A
Yue Zhang,female,A
Wenliang Chen,male,A
Min Zhang,male,A
Jingbo Zhu,male,A
Matthew R. Gormley,male,W_NL
Jason Eisner,male,W_NL
Richard Socher,male,W_NL
John Bauer,male,W_NL
Christopher D. Manning,male,W_NL
Andrew Y. Ng,male,A
Angeliki Metallinou,female,A
Dan Bohus,male,W_NL
Jason Williams,male,B_NL
Man Lan,male,A
Yu Xu,female,A
Zhengyu Niu,male,A
Shafiq Joty,male,A
Giuseppe Carenini,male,HL
Raymond Ng,male,A
Yashar Mehdad,male,A
Emmanuel Lassalle,male,HL
Pascal Denis,male,B_NL
K. Tamsin Maxwell,male,B_NL
Jon Oberlander,male,W_NL
W. Bruce Croft,male,W_NL
Martin Popel,male,W_NL
David Mareček,male,W_NL
Jan Štěpánek,male,W_NL
Daniel Zeman,male,W_NL
Zdeněk Žabokrtský,male,W_NL
Flavio De Benedictis,male,HL
Stefano Faralli,male,W_NL
Roberto Navigli,male,HL
Ulle Endriss,female,W_NL
Raquel Fernández,male,HL
Sebastian Sulger,male,W_NL
Miriam Butt,female,A
Tracy Holloway King,female,W_NL
Paul Meurer,male,W_NL
Tibor Laczkó,male,W_NL
György Rákosi,male,W_NL
Cheikh Bamba Dione,male,A
Helge Dyvik,male,W_NL
Victoria Rosén,female,W_NL
Koenraad De Smedt,male,A
Agnieszka Patejuk,female,A
Özlem Çetinoğlu,male,A
I Wayan Arka,male,A
Meladel Mistica,female,HL
Olivier Ferret,male,HL
Carina Silberer,female,HL
Vittorio Ferrari,male,HL
Mirella Lapata,female,HL
Dan Garrette,male,B_NL
Jason Mielens,male,W_NL
Jason Baldridge,male,W_NL
Marion Weller,female,W_NL
Alexander Fraser,male,W_NL
Sabine Schulte im Walde,female,W_NL
Haibo Li,male,A
Jing Zheng,male,A
Heng Ji,male,A
Qi Li,male,A
Wen Wang,male,A
Malte Nuhn,male,W_NL
Hermann Ney,male,W_NL
Xiaojun Quan,male,A
Chunyu Kit,male,A
Yan Song,male,A
Taesung Lee,female,A
Seung-won Hwang,male,A
Zhigang Wang,male,A
Zhixing Li,male,A
Juanzi Li,male,A
Jie Tang,male,A
Jeff Z. Pan,male,A
Vivi Nastase,female,A
Carlo Strapparava,male,HL
Tony Veale,male,B_NL
Guofu Li,male,A
Arjun Mukherjee,male,A
Bing Liu,male,A
Zornitsa Kozareva,female,HL
Tiberiu Boros,male,W_NL
Radu Ion,male,A
Dan Tufis,male,W_NL
Adam Radziszewski,male,W_NL
Shane Bergsma,male,W_NL
Benjamin Van Durme,male,W_NL
Oliver Ferschke,male,W_NL
Iryna Gurevych,female,W_NL
Marc Rittberger,male,W_NL
Aobo Wang,male,A
Min-Yen Kan,female,A
Oleg Rokhlenko,male,W_NL
Idan Szpektor,male,W_NL
Dongdong Zhang,male,A
Shuangzhi Wu,female,A
Nan Yang,female,A
Mu Li,male,A
Wenbin Jiang,male,A
Meng Sun,male,A
Yajuan Lü,male,A
Yating Yang,female,A
Qun Liu,female,A
Xiaodong Zeng,male,A
Derek F. Wong,male,A
Lidia S. Chao,female,A
Isabel Trancoso,female,HL
Trevor Cohn,male,W_NL
Gholamreza Haffari,male,A
Lemao Liu,male,A
Taro Watanabe,male,A
Eiichiro Sumita,male,A
Tiejun Zhao,male,A
Conghui Zhu,female,A
Taro Watanabe,male,A
Eiichiro Sumita,male,A
Tiejun Zhao,male,A
Fabienne Braune,female,W_NL
Nina Seemann,female,W_NL
Daniel Quernheim,male,W_NL
Andreas Maletti,male,W_NL
Bing Xiang,male,A
Xiaoqiang Luo,male,A
Bowen Zhou,male,A
Rico Sennrich,male,A
Holger Schwenk,male,W_NL
Walid Aransa,male,HL
Akihiro Tamura,male,A
Taro Watanabe,male,A
Eiichiro Sumita,male,A
Hiroya Takamura,female,A
Manabu Okumura,male,A
Guangyou Zhou,male,A
Fang Liu,male,A
Yang Liu,male,A
