Name,Gender,Race
Jun’ichi Tsujii,female,A
James Henderson,male,B_NL
Marius Paşca,male,HL
Greg Durrett,male,W_NL
Adam Pauls,male,W_NL
Dan Klein,male,W_NL
Jagadeesh Jagarlamudi,male,A
Hal Daumé III,male,B_NL
Akihiro Tamura,male,A
Taro Watanabe,male,A
Eiichiro Sumita,male,A
Kai Hong,male,A
Christian G. Kohler,male,W_NL
Mary E. March,female,W_NL
Amber A. Parker,female,W_NL
Ani Nenkova,female,A
Benjamin Van Durme,male,W_NL
Ahmed Hassan,male,A
Amjad Abu-Jbara,male,A
Dragomir Radev,male,W_NL
Aciel Eshky,male,HL
Ben Allison,male,B_NL
Mark Steedman,male,W_NL
Nina Dethlefs,female,W_NL
Helen Hastie,female,W_NL
Verena Rieser,female,W_NL
Oliver Lemon,male,B_NL
Michael J. Paul,male,B_NL
Xianpei Han,male,A
Le Sun,female,A
Avirup Sil,male,A
Ernest Cronin,male,W_NL
Penghai Nie,male,A
Yinfei Yang,female,A
Ana-Maria Popescu,female,HL
Alexander Yates,male,W_NL
Ajay Nagesh,male,A
Ganesh Ramakrishnan,male,A
Laura Chiticariu,female,A
Rajasekar Krishnamurthy,male,A
Ankush Dharkar,male,A
Pushpak Bhattacharyya,male,A
Shoushan Li,male,A
Shengfeng Ju,male,A
Guodong Zhou,male,A
Xiaojun Li,male,A
Lizhen Qu,female,A
Rainer Gemulla,male,B_NL
Gerhard Weikum,male,W_NL
Yanyan Zhao,male,A
Bing Qin,male,A
Ting Liu,female,A
Michael Roth,male,W_NL
Anette Frank,female,W_NL
Vivi Nastase,female,A
Alex Judea,male,HL
Katja Markert,female,W_NL
Michael Strube,male,W_NL
Hila Weisman,female,W_NL
Jonathan Berant,male,W_NL
Idan Szpektor,male,W_NL
Ido Dagan,male,A
Paramveer Dhillon,male,A
Jordan Rodu,male,W_NL
Michael Collins,male,W_NL
Dean Foster,male,W_NL
Lyle Ungar,male,W_NL
Robert Lindsey,male,W_NL
William Headden,male,W_NL
Michael Stipicevic,male,W_NL
Abby Levenberg,female,W_NL
Chris Dyer,male,W_NL
Phil Blunsom,male,B_NL
Kristian Woodsend,male,W_NL
Mirella Lapata,female,HL
Michael White,male,B_NL
Rajakrishnan Rajkumar,male,A
Seonggi Ryang,female,A
Takeshi Abekawa,male,A
Qing Dou,female,A
Kevin Knight,male,B_NL
Zhengxian Gong,male,A
Min Zhang,male,A
Chew Lim Tan,male,A
Guodong Zhou,male,A
Pidong Wang,male,A
Preslav Nakov,male,A
Hwee Tou Ng,female,A
David Mareček,male,W_NL
Zdeněk Žabokrtský,male,W_NL
Daniel Fernández-González,male,HL
Carlos Gómez-Rodríguez,male,HL
Hao Zhang,male,A
Ryan McDonald,male,W_NL
Young-Bum Kim,female,A
Benjamin Snyder,male,W_NL
Nicholas Andrews,male,W_NL
Jason Eisner,male,W_NL
Mark Dredze,male,W_NL
Vera Demberg,female,W_NL
Asad Sayeed,male,A
Philip Gorinski,male,W_NL
Nikolaos Engonopoulos,male,W_NL
Jong-Hoon Oh,male,A
Kentaro Torisawa,male,A
Chikara Hashimoto,female,A
Takuya Kawada,female,A
Stijn De Saeger,male,A
Jun’ichi Kazama,female,A
Yiou Wang,female,A
Mohamed Yahya,male,A
Klaus Berberich,male,W_NL
Shady Elbassuoni,male,A
Maya Ramanath,female,A
Volker Tresp,male,W_NL
Gerhard Weikum,male,W_NL
Jianxing Yu,male,A
Zheng-Jun Zha,female,A
Tat-Seng Chua,female,A
Lemao Liu,male,A
Hailong Cao,male,A
Taro Watanabe,male,A
Tiejun Zhao,male,A
Mo Yu,male,A
Conghui Zhu,female,A
Wenbin Jiang,male,A
Fandong Meng,male,A
