Name,Gender,Race
Chengqing Zong,male,A
Michael Strube,male,W_NL
Sébastien Jean,male,W_NL
Kyunghyun Cho,female,A
Roland Memisevic,male,W_NL
Yoshua Bengio,male,HL
Thang Luong,male,A
Ilya Sutskever,male,A
Quoc Le,male,A
Oriol Vinyals,male,HL
Wojciech Zaremba,male,W_NL
Fandong Meng,male,A
Zhengdong Lu,male,A
Mingxuan Wang,male,A
Hang Li,female,A
Wenbin Jiang,male,A
Qun Liu,female,A
Hendra Setiawan,male,A
Zhongqiang Huang,male,A
Jacob Devlin,male,W_NL
Thomas Lamar,male,W_NL
Rabih Zbib,male,A
Richard Schwartz,male,W_NL
John Makhoul,male,W_NL
Desmond Elliott,male,B_NL
Arjen de Vries,male,A
Angel Chang,male,A
Will Monroe,male,B_NL
Manolis Savva,male,HL
Christopher Potts,male,W_NL
Christopher D. Manning,male,W_NL
Wenpeng Yin,male,A
Hinrich Schütze,male,W_NL
Arti Ramesh,male,A
Shachi H. Kumar,male,A
James Foulds,male,W_NL
Lise Getoor,female,W_NL
Shu Guo,male,A
Quan Wang,male,A
Bin Wang,male,A
Lihong Wang,female,A
Li Guo,female,A
Ignacio Iacobacci,male,HL
Mohammad Taher Pilehvar,male,A
Roberto Navigli,male,HL
Zhigang Chen,male,A
Wei Lin,male,A
Qian Chen,male,A
Xiaoping Chen,female,A
Si Wei,male,A
Hui Jiang,male,A
Xiaodan Zhu,male,A
Dhanya Sridhar,female,A
James Foulds,male,W_NL
Bert Huang,male,A
Lise Getoor,female,W_NL
Marilyn Walker,female,B_NL
Audi Primadhanty,female,B_NL
Xavier Carreras,male,HL
Ariadna Quattoni,female,HL
Fei Sun,male,A
Jiafeng Guo,male,A
Yanyan Lan,male,A
Jun Xu,male,A
Xueqi Cheng,female,A
Emma Strubell,female,B_NL
Luke Vilnis,male,W_NL
Kate Silverstein,female,W_NL
Andrew McCallum,male,W_NL
Arvind Neelakantan,male,A
Benjamin Roth,male,W_NL
Andrew McCallum,male,W_NL
Yubo Chen,male,A
Liheng Xu,male,A
Kang Liu,female,A
Daojian Zeng,male,A
Jun Zhao,male,A
Vidhoon Viswanathan,male,A
Nazneen Fatema Rajani,female,A
Yinon Bentor,male,A
Raymond Mooney,male,W_NL
Kiem-Hieu Nguyen,male,A
Xavier Tannier,male,HL
Olivier Ferret,male,HL
Romaric Besançon,male,B_NL
Yusuke Oda,male,A
Graham Neubig,male,W_NL
Sakriani Sakti,female,A
Tomoki Toda,male,A
Satoshi Nakamura,female,A
Tetsuji Nakagawa,female,A
José G. C. de Souza,male,HL
Matteo Negri,male,HL
Elisa Ricci,female,W_NL
Marco Turchi,male,HL
Jinsong Su,male,A
Deyi Xiong,male,A
Yang Liu,male,A
Xianpei Han,male,A
Hongyu Lin,female,A
Junfeng Yao,male,A
Min Zhang,male,A
Mrinmaya Sachan,female,A
Kumar Dubey,male,A
Eric Xing,male,A
Matthew Richardson,male,W_NL
Guangyou Zhou,male,A
Tingting He,female,A
Jun Zhao,male,A
Po Hu,male,A
Li Dong,male,A
Furu Wei,female,A
Ming Zhou,male,A
Ke Xu,male,A
Angeliki Lazaridou,female,A
Georgiana Dinu,female,A
Marco Baroni,male,HL
Antoine Bride,male,B_NL
Tim Van de Cruys,male,A
Nicholas Asher,male,W_NL
Casey Kennington,male,W_NL
David Schlangen,male,W_NL
Greg Durrett,male,W_NL
Dan Klein,male,W_NL
Wenzhe Pei,male,A
Tao Ge,male,A
Baobao Chang,male,A
David Weiss,male,W_NL
Chris Alberti,male,W_NL
Michael Collins,male,W_NL
Slav Petrov,male,W_NL
Chris Dyer,male,W_NL
Miguel Ballesteros,male,HL
Wang Ling,male,A
Austin Matthews,male,W_NL
Noah A. Smith,male,W_NL
Gabor Angeli,male,W_NL
Melvin Jose Johnson Premkumar,male,B_NL
Christopher D. Manning,male,W_NL
William Yang Wang,male,A
William W. Cohen,male,W_NL
Ndapandula Nakashole,female,A
Tom M. Mitchell,male,B_NL
Maksim Tkachenko,male,A
Hady Lauw,male,A
Jinho D. Choi,male,A
Joel Tetreault,male,W_NL
Amanda Stent,female,W_NL
Alan Akbik,male,A
Laura Chiticariu,female,A
Marina Danilevsky,female,W_NL
Yunyao Li,male,A
Shivakumar Vaithyanathan,male,A
Huaiyu Zhu,male,A
Mariana S. C. Almeida,female,HL
Cláudia Pinto,female,HL
Helena Figueira,female,HL
Pedro Mendes,male,HL
André F. T. Martins,male,B_NL
Qiang Chen,male,A
Wenjie Li,female,A
Yu Lei,female,A
Xule Liu,female,A
Yanxiang He,male,A
HuiWei Zhou,male,A
Long Chen,male,A
Fulin Shi,female,A
Degen Huang,male,A
Rahul Jha,male,A
Catherine Finegan-Dollak,female,W_NL
Ben King,male,A
Reed Coke,male,W_NL
Dragomir Radev,male,W_NL
Ondřej Dušek,male,W_NL
Filip Jurčíček,male,W_NL
Rui Sun,male,A
Yue Zhang,female,A
Meishan Zhang,male,A
Donghong Ji,female,A
Young-Bum Kim,female,A
Karl Stratos,male,W_NL
Ruhi Sarikaya,female,A
Minwoo Jeong,male,A
Yun-Nung Chen,female,A
William Yang Wang,male,A
Anatole Gershman,male,W_NL
Alexander Rudnicky,male,HL
Shuangzhi Wu,female,A
Dongdong Zhang,male,A
Ming Zhou,male,A
Tiejun Zhao,male,A
Yi Yang,female,A
Ming-Wei Chang,male,A
Chunliang Lu,male,A
Wai Lam,male,A
Yi Liao,male,A
Muyu Zhang,female,A
Bing Qin,male,A
Mao Zheng,male,A
Graeme Hirst,male,W_NL
Ting Liu,female,A
Jon Stevens,male,W_NL
Anton Benz,male,W_NL
Sebastian Reuße,male,HL
Ralf Klabunde,male,W_NL
Isaac Persing,male,A
Vincent Ng,male,A
Ramakrishna Bairi,male,A
Rishabh Iyer,male,A
Ganesh Ramakrishnan,male,A
Jeff Bilmes,male,W_NL
Nikos Voskarides,male,W_NL
Edgar Meij,male,HL
Manos Tsagkias,male,A
Maarten de Rijke,male,A
Wouter Weerkamp,male,W_NL
Tao Ge,male,A
Wenzhe Pei,male,A
Heng Ji,male,A
Sujian Li,male,A
Baobao Chang,male,A
Zhifang Sui,female,A
Boliang Zhang,male,A
Hongzhao Huang,male,A
Xiaoman Pan,male,A
Sujian Li,male,A
Chin-Yew Lin,male,A
Heng Ji,male,A
Kevin Knight,male,B_NL
Zhen Wen,male,A
Yizhou Sun,male,A
Jiawei Han,male,A
Bulent Yener,male,W_NL
Dirk Weissenborn,male,W_NL
Leonhard Hennig,male,W_NL
Feiyu Xu,male,A
Hans Uszkoreit,male,W_NL
Eytan Adar,male,W_NL
Srayan Datta,male,A
Linlin Wang,female,A
Kang Liu,female,A
Zhu Cao,male,A
Jun Zhao,male,A
Gerard de Melo,male,HL
Cícero dos Santos,male,HL
Bing Xiang,male,A
Bowen Zhou,male,A
Thien Huu Nguyen,male,A
Barbara Plank,female,W_NL
Ralph Grishman,male,W_NL
Yating Zhang,female,A
Adam Jatowt,male,W_NL
Sourav Bhowmick,male,A
Katsumi Tanaka,female,A
Bowei Zou,male,A
Qiaoming Zhu,female,A
Guodong Zhou,male,A
Ni Lao,female,A
Einat Minkov,male,W_NL
William Cohen,male,W_NL
Yezhou Yang,female,A
Yiannis Aloimonos,male,HL
Cornelia Fermüller,female,B_NL
Eren Erdal Aksoy,male,A
Guoliang Ji,male,A
Shizhu He,female,A
Liheng Xu,male,A
Kang Liu,female,A
Jun Zhao,male,A
Christopher Bryant,male,B_NL
Hwee Tou Ng,female,A
Mihael Arcan,male,W_NL
Marco Turchi,male,HL
Paul Buitelaar,male,W_NL
Tristan Miller,male,W_NL
Iryna Gurevych,female,W_NL
Danushka Bollegala,female,HL
Takanori Maehara,female,A
Ken-ichi Kawarabayashi,female,A
José Camacho-Collados,male,HL
Mohammad Taher Pilehvar,male,A
Roberto Navigli,male,HL
Dirk Hovy,male,W_NL
Asad Sayeed,male,A
Stefan Fischer,male,W_NL
Vera Demberg,female,W_NL
Doug Downey,male,W_NL
Chandra Bhagavatula,female,A
Yi Yang,female,A
Bin Wang,male,A
Zhijian Ou,male,A
Zhiqiang Tan,male,A
Rajarshi Das,male,A
Manzil Zaheer,male,A
Chris Dyer,male,W_NL
Francisco Guzmán,male,HL
Shafiq Joty,male,A
Lluís Màrquez,male,HL
Preslav Nakov,male,A
Nina Seemann,female,W_NL
Fabienne Braune,female,W_NL
Andreas Maletti,male,W_NL
Shujian Huang,male,A
Huadong Chen,male,A
Xin-Yu Dai,male,A
Jiajun Chen,male,A
Qing Dou,female,A
Ashish Vaswani,male,A
Kevin Knight,male,B_NL
Chris Dyer,male,W_NL
Antonio Valerio Miceli-Barone,male,HL
Giuseppe Attardi,male,W_NL
Dian Yu,female,A
Yulia Tyshchuk,female,A
Heng Ji,male,A
William Wallace,male,W_NL
Siddhartha Banerjee,male,A
Prasenjit Mitra,male,A
Chris Quirk,male,W_NL
Raymond Mooney,male,W_NL
Michel Galley,male,W_NL
Igor Labutov,male,W_NL
Sumit Basu,male,A
Lucy Vanderwende,female,HL
Nguyen Vo,male,A
Arindam Mitra,male,A
Chitta Baral,male,A
Steffen Eger,male,W_NL
Ke Xu,male,A
Yunqing Xia,female,A
Chin-Hui Lee,male,A
Chen Li,male,A
Yang Liu,male,A
Martin Gleize,male,W_NL
Brigitte Grau,female,W_NL
Ekaterina Shutova,female,A
Niket Tandon,male,A
Gerard de Melo,male,HL
Hiroki Ouchi,female,A
Hiroyuki Shindo,female,A
Kevin Duh,male,A
Yuji Matsumoto,male,A
Nghia The Pham,male,A
Germán Kruszewski,male,W_NL
Angeliki Lazaridou,female,A
Marco Baroni,male,HL
Keenon Werling,male,W_NL
Gabor Angeli,male,W_NL
Christopher D. Manning,male,W_NL
Dipendra Kumar Misra,male,A
Kejia Tao,female,A
Percy Liang,male,A
Ashutosh Saxena,male,A
Simone Filice,female,B_NL
Giovanni Da San Martino,male,HL
Alessandro Moschitti,male,HL
Duyu Tang,female,A
Bing Qin,male,A
Ting Liu,female,A
Andrew Schneider,male,W_NL
Eduard Dragut,male,W_NL
Byron C. Wallace,male,B_NL
Do Kook Choe,male,A
Eugene Charniak,male,W_NL
Shoushan Li,male,A
Lei Huang,female,A
Rong Wang,male,A
Guodong Zhou,male,A
Rui Xia,male,A
Cheng Wang,male,A
Xin-Yu Dai,male,A
Tao Li,male,A
Caroline Langlet,female,W_NL
Chloé Clavel,female,B_NL
Ramon Astudillo,male,HL
Silvio Amir,male,A
Wang Ling,male,A
Mário Silva,male,HL
Isabel Trancoso,female,HL
Vinay Shashidhar,male,A
Nishant Pandey,male,A
Varun Aggarwal,male,A
Shahab Jalalvand,male,A
Matteo Negri,male,HL
Daniele Falavigna,female,W_NL
Marco Turchi,male,HL
Jiwei Li,male,A
Thang Luong,male,A
Dan Jurafsky,male,W_NL
Alexis Nasr,male,HL
Carlos Ramisch,male,HL
José Deulofeu,male,HL
André Valli,male,A
Jie Zhou,male,A
Wei Xu,male,A
Zhiguo Wang,male,A
Haitao Mi,male,A
Nianwen Xue,female,A
Dominick Ng,male,A
James R. Curran,male,W_NL
Chenxi Zhu,female,A
Xipeng Qiu,male,A
Xinchi Chen,male,A
Xuanjing Huang,male,A
Taro Watanabe,male,A
Eiichiro Sumita,male,A
Xian Qian,male,A
Yang Liu,male,A
Ioannis Konstas,male,W_NL
Frank Keller,male,W_NL
Wolfgang Maier,male,W_NL
Hao Zhou,male,A
Yue Zhang,female,A
Shujian Huang,male,A
Jiajun Chen,male,A
Do Kook Choe,male,A
David McClosky,male,W_NL
Jiang Guo,male,A
Wanxiang Che,male,A
David Yarowsky,male,W_NL
Haifeng Wang,male,A
Ting Liu,female,A
Marti A. Hearst,female,W_NL
Karthik Narasimhan,male,A
Regina Barzilay,female,W_NL
Ru Li,female,A
Juan Wu,male,A
Zhiqiang Wang,male,A
Qinghua Chai,female,A
Annemarie Friedrich,female,W_NL
Manfred Pinkal,male,A
Karl Stratos,male,W_NL
Michael Collins,male,W_NL
Daniel Hsu,male,A
Zhiting Hu,male,A
Poyao Huang,male,A
Yuntian Deng,male,A
Yingkai Gao,male,A
Eric Xing,male,A
Jeff Mitchell,male,W_NL
Mark Steedman,male,W_NL
Eunsol Choi,female,A
Tom Kwiatkowski,male,A
Luke Zettlemoyer,male,W_NL
Wen-tau Yih,female,A
Ming-Wei Chang,male,A
Xiaodong He,male,A
Jianfeng Gao,male,A
Yushi Wang,female,A
Jonathan Berant,male,W_NL
Percy Liang,male,A
Xin Wang,female,A
Yuanchao Liu,male,A
Chengjie Sun,male,A
Baoxun Wang,female,A
Xiaolong Wang,male,A
Thien Hai Nguyen,male,A
Kiyoaki Shirai,female,A
Qiao Qian,female,A
Bo Tian,male,A
Minlie Huang,female,A
Yang Liu,male,A
Xuan Zhu,male,A
Xiaoyan Zhu,male,A
Édouard Grave,male,B_NL
Noémie Elhadad,female,A
Jason Mielens,male,W_NL
Liang Sun,male,A
Jason Baldridge,male,W_NL
Yonatan Bisk,male,A
Julia Hockenmaier,female,W_NL
Kevin Clark,male,W_NL
Christopher D. Manning,male,W_NL
Sam Wiseman,male,W_NL
Alexander M. Rush,male,W_NL
Stuart Shieber,male,W_NL
Jason Weston,male,W_NL
André F. T. Martins,male,B_NL
Viet-An Nguyen,female,A
Jordan Boyd-Graber,male,W_NL
Philip Resnik,male,W_NL
Kristina Miler,female,W_NL
Dana Movshovitz-Attias,female,HL
William W. Cohen,male,W_NL
Zhendong Zhao,male,A
Lan Du,male,A
Benjamin Börschinger,male,W_NL
John K Pate,male,W_NL
Massimiliano Ciaramita,male,HL
Mark Steedman,male,W_NL
Mark Johnson,male,B_NL
Panupong Pasupat,male,A
Percy Liang,male,A
Jonas Groschwitz,male,W_NL
Alexander Koller,male,W_NL
Christoph Teichmann,male,W_NL
Manaal Faruqui,male,A
Yulia Tsvetkov,male,A
Dani Yogatama,female,A
Chris Dyer,male,W_NL
Noah A. Smith,male,W_NL
Quan Liu,male,A
Hui Jiang,male,A
Si Wei,male,A
Zhen-Hua Ling,male,A
Yu Hu,female,A
Ellie Pavlick,female,W_NL
Johan Bos,male,W_NL
Malvina Nissim,female,A
Charley Beller,male,W_NL
Benjamin Van Durme,male,W_NL
Chris Callison-Burch,male,W_NL
Daniel Fernández-González,male,HL
André F. T. Martins,male,B_NL
Le Quang Thang,male,A
Hiroshi Noji,male,A
Yusuke Miyao,male,A
Yantao Du,male,A
Weiwei Sun,female,A
Xiaojun Wan,male,A
Kai Sheng Tai,male,A
Richard Socher,male,W_NL
Christopher D. Manning,male,W_NL
Mingxuan Wang,male,A
Zhengdong Lu,male,A
Hang Li,female,A
Wenbin Jiang,male,A
Qun Liu,female,A
Lifeng Shang,male,A
Zhengdong Lu,male,A
Hang Li,female,A
Lidong Bing,male,A
