Name,Gender,Race
Anna Korhonen,female,W_NL
David Traum,male,W_NL
Lluís Màrquez,male,HL
Chongyang Tao,male,A
Wei Wu,male,A
Can Xu,male,A
Wenpeng Hu,male,A
Dongyan Zhao,male,A
Rui Yan,male,A
Zekang Li,male,A
Cheng Niu,male,A
Fandong Meng,male,A
Yang Feng,male,A
Qian Li,male,A
Jie Zhou,male,A
Hui Su,female,A
Xiaoyu Shen,female,A
Rongzhi Zhang,male,A
Fei Sun,male,A
Pengwei Hu,male,A
Cheng Niu,male,A
Jie Zhou,male,A
Chinnadhurai Sankar,male,A
Sandeep Subramanian,male,A
Chris Pal,male,A
Sarath Chandar,male,A
Yoshua Bengio,male,HL
Wenchao Du,male,A
Alan W Black,male,W_NL
Junyu Lu,male,A
Chenbin Zhang,male,A
Zeying Xie,female,A
Guang Ling,male,A
Tom Chao Zhou,male,A
Zenglin Xu,male,A
Ruisheng Cao,male,A
Su Zhu,female,A
Chen Liu,male,A
Jieyu Li,female,A
Kai Yu,male,A
Antoine Venant,male,B_NL
Alexander Koller,male,W_NL
Sheng Zhang,female,A
Xutai Ma,female,A
Kevin Duh,male,A
Benjamin Van Durme,male,W_NL
Peter Shaw,male,W_NL
Philip Massey,male,W_NL
Angelica Chen,female,A
Francesco Piccinno,male,HL
Yasemin Altun,female,A
Dinghan Shen,male,A
Pengyu Cheng,male,A
Dhanasekar Sundararaman,male,A
Xinyuan Zhang,male,A
Qian Yang,male,A
Meng Tang,male,A
Asli Celikyilmaz,female,A
Lawrence Carin,male,B_NL
Agnieszka Falenska,female,W_NL
Jonas Kuhn,male,W_NL
Masashi Yoshikawa,female,A
Hiroshi Noji,male,A
Koji Mineshima,male,A
Daisuke Bekki,male,A
Genady Beryozkin,male,W_NL
Yoel Drori,male,HL
Oren Gilon,male,B_NL
Tzvika Hartman,male,W_NL
Idan Szpektor,male,W_NL
Afshin Rahimi,male,A
Yuan Li,male,A
Trevor Cohn,male,W_NL
Ying Lin,female,A
Liyuan Liu,male,A
Heng Ji,male,A
Dong Yu,male,A
Jiawei Han,male,A
Yichong Leng,male,A
Xu Tan,male,A
Tao Qin,male,A
Xiang-Yang Li,female,A
Tie-Yan Liu,male,A
Barun Patra,male,A
Joel Ruben Antony Moniz,male,W_NL
Sarthak Garg,male,A
Matthew R. Gormley,male,W_NL
Graham Neubig,male,W_NL
Mikel Artetxe,male,HL
Gorka Labaka,male,HL
Eneko Agirre,male,HL
Motoki Sato,female,A
Jun Suzuki,male,A
Shun Kiyono,male,A
Rico Sennrich,male,A
Biao Zhang,male,A
Danielle Saunders,female,B_NL
Felix Stahlberg,male,HL
Adrià de Gispert,female,HL
Bill Byrne,male,W_NL
Bayu Distiawan Trisedya,male,A
Gerhard Weikum,male,W_NL
Jianzhong Qi,male,A
Rui Zhang,male,A
Zhijiang Guo,male,A
Yan Zhang,male,A
Wei Lu,male,A
Aniruddha Maiti,male,A
Slobodan Vucetic,male,W_NL
Canran Xu,male,A
Ruijiang Li,male,A
Benjamin Heinzerling,male,W_NL
Michael Strube,male,W_NL
Tao Li,male,A
Vivek Srikumar,male,A
Julia Kreutzer,female,W_NL
Stefan Riezler,male,W_NL
Mahtab Ahmed,male,A
Muhammad Rifayat Samee,male,A
Robert E. Mercer,male,W_NL
Daniel Fried,male,W_NL
Nikita Kitaev,male,A
Dan Klein,male,W_NL
Sainbayar Sukhbaatar,male,A
Edouard Grave,male,B_NL
Piotr Bojanowski,male,W_NL
Armand Joulin,male,B_NL
Mingxiao An,male,A
Fangzhao Wu,male,A
Chuhan Wu,male,A
Kun Zhang,male,A
Zheng Liu,male,A
Xing Xie,female,A
Marina Sedinkina,female,HL
Nikolas Breitkopf,male,W_NL
Hinrich Schütze,male,W_NL
Ji-Ung Lee,female,A
Erik Schwan,male,W_NL
Christian M. Meyer,male,W_NL
Zied Haj-Yahia,male,A
Adrien Sieg,male,W_NL
Léa A. Deleris,female,HL
Matthew Shardlow,male,W_NL
Raheel Nawaz,male,A
Yu Qin,female,A
Yi Yang,female,A
Shengli Hu,male,A
Yi Zhang,male,A
Zachary Ives,male,B_NL
Dan Roth,male,W_NL
Vineet John,male,W_NL
Lili Mou,female,A
Hareesh Bahuleyan,male,A
Olga Vechtomova,female,HL
Shamil Chollampatt,male,A
Weiqi Wang,male,A
Hwee Tou Ng,female,A
Rui Zhang,male,A
Joel Tetreault,male,W_NL
Haim Dubossarsky,male,W_NL
