Name,Gender,Race
Lluís Màrquez,male,HL
Chris Callison-Burch,male,W_NL
Jian Su,male,A
Karthik Narasimhan,male,A
Tejas Kulkarni,male,A
Regina Barzilay,female,W_NL
Abhijeet Gupta,male,A
Gemma Boleda,female,HL
Marco Baroni,male,HL
Sebastian Padó,male,HL
Aurélie Herbelot,female,B_NL
Eva Maria Vecchi,female,HL
Liangyou Li,male,A
Andy Way,male,A
Qun Liu,female,A
Miloš Stanojević,male,W_NL
Khalil Sima’an,male,A
He He,male,A
Alvin Grissom II,male,B_NL
John Morgan,male,W_NL
Jordan Boyd-Graber,male,W_NL
Hal Daumé III,male,B_NL
Nathanael Chambers,male,B_NL
Victor Bowen,male,W_NL
Ethan Genco,male,W_NL
Xisen Tian,male,A
Eric Young,male,B_NL
Ganesh Harihara,male,A
Eugene Yang,male,A
David Bamman,male,W_NL
Noah A. Smith,male,W_NL
Chao Yang,male,A
Shimei Pan,female,A
Jalal Mahmud,male,A
Huahai Yang,male,A
Padmini Srinivasan,male,A
Tuan Tran,male,A
Nam Khanh Tran,male,A
Asmelash Teka Hadgu,female,A
Robert Jäschke,male,W_NL
Kai Hong,male,A
Mitchell Marcus,male,B_NL
Ani Nenkova,female,A
Jin-ge Yao,female,A
Xiaojun Wan,male,A
Jianguo Xiao,male,A
Yvette Graham,female,B_NL
Priya Sidhaye,female,A
Jackie Chi Kit Cheung,male,A
Douwe Kiela,male,A
Ivan Vulić,male,A
Stephen Clark,male,W_NL
Sarthak Jain,male,A
Shashank Batra,male,A
Jayanth Jayanth,male,A
Jayaprakash Sundararaj,male,A
Pushpak Bhattacharyya,male,A
Lingjia Deng,female,A
Janyce Wiebe,female,W_NL
Ashequl Qadir,male,A
Ellen Riloff,female,W_NL
Marilyn Walker,female,B_NL
Tongtao Zhang,male,A
Hongzhi Li,male,A
Heng Ji,male,A
Shih-Fu Chang,female,A
Francis Ferraro,male,W_NL
Nasrin Mostafazadeh,female,A
Ting-Hao Huang,female,A
Lucy Vanderwende,female,HL
Jacob Devlin,male,W_NL
Michel Galley,male,W_NL
Margaret Mitchell,female,B_NL
Arnau Ramisa,male,HL
Josiah Wang,male,A
Ying Lu,female,A
Emmanuel Dellandrea,male,HL
Francesc Moreno-Noguer,male,HL
Robert Gaizauskas,male,W_NL
Andrei Simion,male,B_NL
Michael Collins,male,W_NL
Cliff Stein,male,W_NL
Arvid Österlund,male,W_NL
David Ödling,male,W_NL
Magnus Sahlgren,male,A
Matthieu Labeau,male,A
Kevin Löser,male,W_NL
Alexandre Allauzen,male,B_NL
Marek Rei,male,A
Majid Yazdani,male,A
James Henderson,male,B_NL
Michal Lukasik,male,W_NL
P. K. Srijith,male,A
Trevor Cohn,male,W_NL
