Name,Gender,Race
Ellen Riloff,female,W_NL
David Chiang,male,A
Julia Hockenmaier,female,W_NL
Jun’ichi Tsujii,female,A
Maximin Coavoux,male,B_NL
Shashi Narayan,male,A
Shay B. Cohen,female,W_NL
Yanai Elazar,female,A
Yoav Goldberg,male,W_NL
Kashyap Popat,male,A
Subhabrata Mukherjee,female,A
Andrew Yates,male,W_NL
Gerhard Weikum,male,W_NL
Zijian Wang,male,A
David Jurgens,male,W_NL
Serina Chang,female,A
Ruiqi Zhong,female,A
Ethan Adams,male,B_NL
Fei-Tzin Lee,female,A
Siddharth Varia,male,A
Desmond Patton,male,B_NL
William Frey,male,W_NL
Chris Kedzie,male,W_NL
Kathy McKeown,female,W_NL
Niket Tandon,male,A
Bhavana Dalvi,female,A
Joel Grus,male,W_NL
Wen-tau Yih,female,A
Antoine Bosselut,male,B_NL
Peter Clark,male,W_NL
Adam Poliak,male,W_NL
Aparajita Haldar,female,A
Rachel Rudinger,female,W_NL
J. Edward Hu,male,A
Ellie Pavlick,female,W_NL
Aaron Steven White,male,B_NL
Benjamin Van Durme,male,W_NL
Matthew Lamm,male,W_NL
Arun Chaganty,male,A
Christopher D. Manning,male,W_NL
Dan Jurafsky,male,W_NL
Percy Liang,male,A
Rowan Zellers,male,W_NL
Yonatan Bisk,male,A
Roy Schwartz,male,W_NL
Yejin Choi,female,A
Wenpeng Yin,male,A
Dan Roth,male,W_NL
Shaonan Wang,male,A
Jiajun Zhang,male,A
Chengqing Zong,male,A
Ramakanth Pasunuru,male,A
Mohit Bansal,male,A
Fenglin Liu,male,A
Xuancheng Ren,male,A
Yuanxin Liu,female,A
Houfeng Wang,male,A
Xu Sun,male,A
Paul Pu Liang,male,A
Ziyin Liu,male,A
AmirAli Bagher Zadeh,male,A
Louis-Philippe Morency,male,B_NL
Jingyuan Chen,male,A
Xinpeng Chen,male,A
Lin Ma,female,A
Zequn Jie,male,A
Tat-Seng Chua,female,A
Hong Chen,male,A
Zhenhua Fan,male,A
Hao Lu,male,A
Alan Yuille,male,B_NL
Shu Rong,male,A
Pengfei Cao,male,A
Yubo Chen,male,A
Kang Liu,female,A
Jun Zhao,male,A
Shengping Liu,male,A
Nafise Sadat Moosavi,female,A
Michael Strube,male,W_NL
Bailin Wang,male,A
Wei Lu,male,A
Mingda Chen,female,A
Qingming Tang,male,A
Karen Livescu,female,W_NL
Kevin Gimpel,male,W_NL
Yixin Cao,male,A
Lei Hou,female,A
Juanzi Li,male,A
Zhiyuan Liu,male,A
Chengjiang Li,male,A
Xu Chen,male,A
Tiansi Dong,male,A
Yftah Ziser,female,W_NL
Roi Reichart,male,W_NL
Lifu Huang,male,A
Kyunghyun Cho,female,A
Boliang Zhang,male,A
Heng Ji,male,A
Kevin Knight,male,B_NL
Xilun Chen,male,A
Claire Cardie,female,W_NL
Ta-Chung Chi,female,A
Yun-Nung Chen,female,A
Edoardo Maria Ponti,male,HL
Ivan Vulić,male,A
Goran Glavaš,male,W_NL
Nikola Mrkšić,male,W_NL
Anna Korhonen,female,W_NL
Yerai Doval,male,HL
Jose Camacho-Collados,male,HL
Luis Espinosa-Anke,male,HL
Steven Schockaert,male,W_NL
Manaal Faruqui,male,A
Ellie Pavlick,female,W_NL
Ian Tenney,male,W_NL
Dipanjan Das,male,A
Daniela Gerz,female,HL
Ivan Vulić,male,A
Edoardo Maria Ponti,male,HL
Roi Reichart,male,W_NL
Anna Korhonen,female,W_NL
Yuan Zhang,male,A
Jason Riesa,male,W_NL
Daniel Gillick,male,W_NL
Anton Bakalov,male,W_NL
Jason Baldridge,male,W_NL
David Weiss,male,W_NL
Weichao Wang,male,A
Shi Feng,female,A
Wei Gao,male,A
Daling Wang,male,A
Yifei Zhang,male,A
Zhichun Wang,female,A
Qingsong Lv,male,A
Xiaohan Lan,male,A
Yu Zhang,female,A
Fanchao Qi,male,A
Yankai Lin,male,A
Maosong Sun,male,A
Hao Zhu,male,A
Ruobing Xie,female,A
Zhiyuan Liu,male,A
Jiateng Xie,female,A
Zhilin Yang,female,A
Graham Neubig,male,W_NL
Noah A. Smith,male,W_NL
Jaime Carbonell,male,HL
Yun Chen,female,A
Victor O.K. Li,male,A
Kyunghyun Cho,female,A
Samuel Bowman,male,W_NL
Yang Zhao,male,A
Jiajun Zhang,male,A
Zhongjun He,male,A
Chengqing Zong,male,A
Hua Wu,male,A
Jetic Gū,male,A
Hassan S. Shavarani,male,A
Anoop Sarkar,male,A
Wenhu Chen,male,A
Jianshu Chen,male,A
Yu Su,female,A
Xin Wang,female,A
Dong Yu,male,A
Xifeng Yan,female,A
William Yang Wang,male,A
Emmanouil Antonios Platanios,male,B_NL
Mrinmaya Sachan,female,A
Graham Neubig,male,W_NL
Tom Mitchell,male,B_NL
Marzieh Fadaee,female,A
Christof Monz,male,W_NL
Jiali Zeng,female,A
Jinsong Su,male,A
Huating Wen,female,A
Yang Liu,male,A
Jun Xie,male,A
Yongjing Yin,female,A
Jianqiang Zhao,male,A
Sebastian Ruder,male,W_NL
Ryan Cotterell,male,W_NL
Yova Kementchedjhieva,female,HL
Anders Søgaard,male,W_NL
Yedid Hoshen,female,A
Lior Wolf,male,W_NL
Chunqi Wang,female,A
Ji Zhang,male,A
Haiqing Chen,male,A
Sergey Edunov,male,W_NL
Myle Ott,female,B_NL
Michael Auli,male,W_NL
David Grangier,male,W_NL
Shyam Upadhyay,male,A
Jordan Kodner,male,W_NL
Dan Roth,male,W_NL
Ndapa Nakashole,female,A
Xinwei Geng,male,A
Xiaocheng Feng,male,A
Bing Qin,male,A
Ting Liu,female,A
Jiacheng Zhang,male,A
Huanbo Luan,male,A
Maosong Sun,male,A
Feifei Zhai,male,A
Jingfang Xu,female,A
Min Zhang,male,A
Yang Liu,male,A
Paul Michel,male,B_NL
