Name,Gender,Race
Dan Jurafsky,male,W_NL
Joyce Chai,female,A
Natalie Schluter,female,W_NL
Joel Tetreault,male,W_NL
Lieke Gelderloos,female,W_NL
Grzegorz Chrupała,male,W_NL
Afra Alishahi,female,A
Alex Rinaldi,male,HL
Jean Fox Tree,male,W_NL
Snigdha Chaturvedi,female,A
Zihan Liu,male,A
Genta Indra Winata,female,A
Peng Xu,male,A
Pascale Fung,female,A
Tianyu Zhao,male,A
Divesh Lala,male,A
Tatsuya Kawahara,female,A
Yawen Ouyang,female,A
Moxin Chen,female,A
Xinyu Dai,female,A
Yinggong Zhao,female,A
Shujian Huang,male,A
Jiajun CHEN,male,A
Xiexiong Lin,female,A
Weiyu Jian,female,A
Jianshan He,male,A
Taifeng Wang,male,A
Wei Chu,male,A
Bowen Wu,male,A
MengYuan Li,male,A
Zongsheng Wang,male,A
Yifu Chen,female,A
Derek F. Wong,male,A
qihang feng,male,A
Junhong Huang,female,A
Baoxun Wang,female,A
Alex Boyd,male,B_NL
Raul Puri,male,A
Mohammad Shoeybi,male,A
Mostofa Patwary,male,A
Bryan Catanzaro,male,W_NL
Siqi Bao,female,A
Huang He,male,A
Fan Wang,male,A
Hua Wu,male,A
Haifeng Wang,male,A
Yangming Li,male,A
Kaisheng Yao,male,A
Libo Qin,male,A
Wanxiang Che,male,A
Xiaolong Li,male,A
Ting Liu,female,A
Samuel Coope,male,B_NL
Tyler Farghly,male,W_NL
Daniela Gerz,female,HL
Ivan Vulić,male,A
Matthew Henderson,male,W_NL
Giovanni Campagna,male,HL
Agata Foryciarz,female,W_NL
Mehrad Moradshahi,male,A
Monica Lam,female,A
Shyh-Shiun Hung,male,A
Hen-Hsen Huang,male,A
Hsin-Hsi Chen,female,A
Ruifang He,male,A
Jian Wang,male,A
Fengyu Guo,female,A
Yugui Han,female,A
Yi Ren,male,A
Jinglin Liu,male,A
Xu Tan,male,A
Zhou Zhao,male,A
sheng zhao,female,A
Tie-Yan Liu,male,A
Ashish V. Thapliyal,male,A
Radu Soricut,male,A
Hayate Iso,female,A
Chao Qiao,male,A
Hang Li,female,A
Zhiyu Chen,female,A
Harini Eavani,female,A
Wenhu Chen,male,A
Yinyin Liu,female,A
William Yang Wang,male,A
Ashutosh Baheti,male,A
Alan Ritter,male,W_NL
Kevin Small,male,B_NL
Dong Bok Lee,male,A
Seanie Lee,male,A
Woo Tae Jeong,male,A
Donghwan Kim,male,A
Sung Ju Hwang,male,A
Zi Chai,female,A
Xiaojun Wan,male,A
Tanya Goyal,female,A
Greg Durrett,male,W_NL
Yu Duan,female,A
Canwen Xu,male,A
Jiaxin Pei,male,A
Jialong Han,male,A
Chenliang Li,male,A
Yi Liao,male,A
Xin Jiang,male,A
Qun Liu,female,A
Yi Tay,female,A
Dara Bahri,female,A
Che Zheng,male,A
Clifford Brunk,male,W_NL
Donald Metzler,male,W_NL
Andrew Tomkins,male,W_NL
Qian Yu,male,A
Lidong Bing,male,A
Qiong Zhang,female,A
Wai Lam,male,A
Luo Si,male,A
Ruichu Cai,male,A
Zhihao Liang,male,A
Boyan Xu,male,A
zijian li,male,A
Yuexing Hao,male,A
Yao Chen,male,A
Xianggen Liu,male,A
Lili Mou,female,A
Fandong Meng,male,A
Hao Zhou,male,A
Jie Zhou,male,A
Sen Song,male,A
Joe Barrow,male,B_NL
Rajiv Jain,male,A
Vlad Morariu,male,HL
Varun Manjunatha,male,A
Douglas Oard,male,W_NL
Philip Resnik,male,W_NL
Dheeraj Mekala,male,A
Jingbo Shang,male,A
Yufeng Zhang,female,A
Xueli Yu,female,A
Zeyu Cui,female,A
Shu Wu,male,A
Zhongzhen Wen,female,A
Liang Wang,male,A
Rui Wang,male,A
Xuemeng Hu,female,A
Deyu Zhou,male,A
Yulan He,female,A
Yuxuan Xiong,male,A
Chenchen Ye,female,A
Haiyang Xu,male,A
Sora Ohashi,female,A
Junya Takayama,female,A
Tomoyuki Kajiwara,male,A
Chenhui Chu,male,A
Yuki Arase,female,A
Kehai Chen,male,A
Rui Wang,male,A
Masao Utiyama,male,A
Eiichiro Sumita,male,A
Jierui Li,female,A
Lemao Liu,male,A
Huayang Li,male,A
Guanlin Li,male,A
Guoping Huang,male,A
Shuming Shi,male,A
Junliang Guo,male,A
Linli Xu,female,A
Enhong Chen,female,A
Hongfei Xu,male,A
Josef van Genabith,male,W_NL
Deyi Xiong,male,A
Qiuhui Liu,female,A
Jingyi Zhang,female,A
Hongfei Xu,male,A
Qiuhui Liu,female,A
Josef van Genabith,male,W_NL
Deyi Xiong,male,A
Jingyi Zhang,female,A
Yann Dubois,male,B_NL
Gautier Dagan,male,W_NL
Dieuwke Hupkes,female,B_NL
Elia Bruni,female,HL
Xiangpeng Wei,male,A
Heng Yu,male,A
Yue Hu,female,A
Yue Zhang,female,A
Rongxiang Weng,male,A
Weihua Luo,female,A
Xuebo Liu,male,A
Houtim Lai,male,A
Derek F. Wong,male,A
Lidia S. Chao,female,A
Renjie Zheng,male,A
Mingbo Ma,male,A
Baigong Zheng,male,A
Kaibo Liu,male,A
Liang Huang,male,A
William Merrill,male,W_NL
Gail Weiss,female,W_NL
Yoav Goldberg,male,W_NL
Roy Schwartz,male,W_NL
Noah A. Smith,male,W_NL
Eran Yahav,male,A
Chenchen Ding,female,A
Masao Utiyama,male,A
Eiichiro Sumita,male,A
Xiaoya Li,female,A
Xiaofei Sun,male,A
Yuxian Meng,female,A
Junjun Liang,male,A
Fei Wu,male,A
Jiwei Li,male,A
Raphaël Bailly,male,B_NL
Kata Gábor,female,A
Tatsuki Kuribayashi,female,A
Takumi Ito,female,A
Jun Suzuki,male,A
Kentaro Inui,male,A
Yi-Ju Lu,female,A
Cheng-Te Li,female,A
Lei Zhong,male,A
Juan Cao,male,A
Qiang Sheng,male,A
Junbo Guo,male,A
Ziang Wang,male,A
Peter Stefanov,male,W_NL
Kareem Darwish,male,A
Atanas Atanasov,male,A
Preslav Nakov,male,A
Hila Gonen,female,A
Ganesh Jawahar,male,A
Djamé Seddah,female,A
Yoav Goldberg,male,W_NL
Lei Shen,male,A
Yang Feng,male,A
Sungdong Kim,female,A
