Name,Gender,Race
Rada Mihalcea,female,HL
Joyce Chai,female,A
Anoop Sarkar,male,A
Ivan Titov,male,HL
Ehsan Khoddam,male,A
Travis Wolfe,male,W_NL
Mark Dredze,male,W_NL
Benjamin Van Durme,male,W_NL
Clayton Greenberg,male,W_NL
Asad Sayeed,male,A
Vera Demberg,female,W_NL
Alona Fyshe,male,B_NL
Leila Wehbe,female,W_NL
Partha P. Talukdar,male,A
Brian Murphy,male,W_NL
Tom M. Mitchell,male,B_NL
Yuan Zhang,male,A
Chengtao Li,male,A
Regina Barzilay,female,W_NL
Kareem Darwish,male,A
Bharat Ram Ambati,male,A
Tejaswini Deoskar,female,A
Mark Johnson,male,B_NL
Mark Steedman,male,W_NL
Corentin Ribeyre,male,W_NL
Eric Villemonte de la Clergerie,male,B_NL
Djamé Seddah,female,A
Chris Tanner,male,W_NL
Eugene Charniak,male,W_NL
Young-Bum Kim,female,A
Minwoo Jeong,male,A
Karl Stratos,male,W_NL
Ruhi Sarikaya,female,A
Upendra Sapkota,male,A
Steven Bethard,male,W_NL
Manuel Montes,male,HL
Thamar Solorio,male,HL
Rie Johnson,female,B_NL
Tong Zhang,male,A
Yijia Liu,female,A
Yue Zhang,female,A
Wanxiang Che,male,A
Bing Qin,male,A
Han Xu,male,A
Eric Martin,male,W_NL
Ashesh Mahidadia,male,A
Carlos A. Colmenares,male,HL
Marina Litvak,female,W_NL
Amin Mantrach,male,A
Fabrizio Silvestri,male,HL
Jonathan Malmaud,male,W_NL
Jonathan Huang,male,A
Vivek Rathod,male,A
Nicholas Johnston,male,W_NL
Andrew Rabinovich,male,W_NL
Kevin Murphy,male,W_NL
Angeliki Lazaridou,female,A
Nghia The Pham,male,A
Marco Baroni,male,HL
Iftekhar Naim,male,A
Young C. Song,male,A
Qiguang Liu,male,A
Liang Huang,male,A
Henry Kautz,male,W_NL
Jiebo Luo,male,A
Daniel Gildea,male,W_NL
Jason Chuang,male,A
Margaret E. Roberts,female,W_NL
Brandon M. Stewart,male,W_NL
Rebecca Weiss,female,W_NL
Dustin Tingley,male,W_NL
Justin Grimmer,male,W_NL
Jeffrey Heer,male,W_NL
Ehsan Mohammady Ardehaly,male,A
Aron Culotta,male,W_NL
Alessandro Sordoni,male,HL
Michel Galley,male,W_NL
Michael Auli,male,W_NL
Chris Brockett,male,W_NL
Yangfeng Ji,male,A
Margaret Mitchell,female,B_NL
Jian-Yun Nie,female,A
Jianfeng Gao,male,A
Bill Dolan,male,W_NL
Aliya Deri,female,A
Kevin Knight,male,B_NL
William Hwang,male,A
Hannaneh Hajishirzi,female,A
Mari Ostendorf,female,W_NL
Wei Wu,male,A
Ellie Pavlick,female,W_NL
Ani Nenkova,female,A
Adrian Benton,male,B_NL
Mark Dredze,male,W_NL
Rebecca Sharp,female,W_NL
Peter Jansen,male,W_NL
Mihai Surdeanu,male,A
Peter Clark,male,W_NL
Maria Pershina,female,HL
Yifan He,male,A
Ralph Grishman,male,W_NL
Jacob Andreas,male,A
Dan Klein,male,W_NL
Ang Lu,male,A
Weiran Wang,male,A
Mohit Bansal,male,A
Kevin Gimpel,male,W_NL
Karen Livescu,female,W_NL
James Ferguson,male,W_NL
Greg Durrett,male,W_NL
Dan Klein,male,W_NL
Xun Wang,male,A
Katsuhito Sudoh,male,A
