Name,Gender,Race
Hang Li,female,A
Lluís Màrquez,male,HL
Alexander M. Rush,male,W_NL
David Sontag,male,W_NL
Michael Collins,male,W_NL
Tommi Jaakkola,male,A
Zhongqiang Huang,male,A
Mary Harper,female,W_NL
Slav Petrov,male,W_NL
Jackie Chi Kit Cheung,male,A
Gerald Penn,male,B_NL
André Martins,male,B_NL
Noah Smith,male,W_NL
Eric Xing,male,A
Pedro Aguiar,male,HL
Mário Figueiredo,male,HL
Jordan Boyd-Graber,male,W_NL
Philip Resnik,male,W_NL
Xin Zhao,male,A
Jing Jiang,male,A
Hongfei Yan,male,A
Xiaoming Li,male,A
Michael Paul,male,W_NL
ChengXiang Zhai,male,A
Roxana Girju,female,HL
Amit Goyal,male,A
Ellen Riloff,female,W_NL
Hal Daumé III,male,B_NL
Danish Contractor,male,A
Govind Kothari,male,A
Tanveer Faruquie,male,A
L. V. Subramaniam,male,A
Sumit Negi,male,A
Razvan Bunescu,male,A
Yunfeng Huang,male,A
Florian Boudin,male,W_NL
Jian-Yun Nie,female,A
Martin Dawes,male,B_NL
Roberto Navigli,male,HL
Giuseppe Crisafulli,male,W_NL
Philip Resnik,male,W_NL
Olivia Buzek,female,W_NL
Chang Hu,male,A
Yakov Kronrod,male,A
Alex Quinn,male,W_NL
Benjamin B. Bederson,male,W_NL
Zhongqiang Huang,male,A
Martin Čmejrek,male,W_NL
Bowen Zhou,male,A
Minh-Thang Luong,male,A
Preslav Nakov,male,A
Min-Yen Kan,female,A
Dmitriy Genzel,male,W_NL
Jakob Uszkoreit,male,W_NL
Franz Och,male,W_NL
Amarnag Subramanya,male,A
Slav Petrov,male,W_NL
Fernando Pereira,male,HL
Wei Lu,male,A
Hwee Tou Ng,female,A
Xian Qian,male,A
Qi Zhang,male,A
Yaqian Zhou,male,A
Xuanjing Huang,male,A
Lide Wu,female,A
Taesun Moon,female,A
Katrin Erk,female,W_NL
Jason Baldridge,male,W_NL
Arjun Mukherjee,male,A
Bing Liu,male,A
Xiao-Li Li,female,A
Bing Liu,male,A
See-Kiong Ng,male,A
Isaac Persing,male,A
Alan Davis,male,W_NL
Vincent Ng,male,A
Daniel Walker,male,W_NL
William B. Lund,male,W_NL
Eric K. Ringger,male,W_NL
John Platt,male,W_NL
Kristina Toutanova,female,HL
Wen-tau Yih,female,A
David Guthrie,male,W_NL
Mark Hepple,male,W_NL
Liang Huang,male,A
Haitao Mi,male,A
Eric Hardisty,male,W_NL
Jordan Boyd-Graber,male,W_NL
Philip Resnik,male,W_NL
Shane Bergsma,male,W_NL
Aditya Bhargava,male,A
Hua He,male,A
Grzegorz Kondrak,male,W_NL
Tao Zhuang,male,A
Chengqing Zong,male,A
Eduardo Blanco,male,HL
Dan Moldovan,male,W_NL
Roi Reichart,male,W_NL
Ari Rappoport,male,W_NL
Radu Florian,male,A
John Pitrelli,male,W_NL
Salim Roukos,male,A
Imed Zitouni,male,A
Longhua Qian,female,A
Guodong Zhou,male,A
Tara McIntosh,female,B_NL
Zhiyuan Liu,male,A
Wenyi Huang,female,A
Yabin Zheng,male,A
Maosong Sun,male,A
Christina Sauper,female,W_NL
Aria Haghighi,female,A
Regina Barzilay,female,W_NL
Shafiq Joty,male,A
Giuseppe Carenini,male,HL
Gabriel Murray,male,B_NL
Raymond T. Ng,male,A
Hugo Hernault,male,HL
Danushka Bollegala,female,HL
Mitsuru Ishizuka,female,A
Dave Golland,male,W_NL
Percy Liang,male,A
Dan Klein,male,W_NL
Jinhua Du,female,A
Jie Jiang,male,A
Andy Way,male,A
Gae-won You,male,A
Seung-won Hwang,male,A
Young-In Song,female,A
Long Jiang,male,A
Zaiqing Nie,male,A
Hui Zhang,male,A
Min Zhang,male,A
Haizhou Li,male,A
Eng Siong Chng,male,A
George Foster,male,W_NL
Cyril Goutte,male,B_NL
Roland Kuhn,male,W_NL
Mark Dredze,male,W_NL
Aren Jansen,male,W_NL
Glen Coppersmith,male,W_NL
Ken Church,male,W_NL
Zahar Prasov,male,A
Joyce Y. Chai,female,A
Ahmet Aker,male,W_NL
Trevor Cohn,male,W_NL
Robert Gaizauskas,male,W_NL
Karthik Raghunathan,male,A
Heeyoung Lee,female,A
Sudarshan Rangarajan,male,A
Nathanael Chambers,male,B_NL
Mihai Surdeanu,male,A
Dan Jurafsky,male,W_NL
Christopher Manning,male,W_NL
Gabor Angeli,male,W_NL
Percy Liang,male,A
Dan Klein,male,W_NL
Kristian Woodsend,male,W_NL
Yansong Feng,male,A
Mirella Lapata,female,HL
Erica Greene,female,B_NL
Tugba Bodrumlu,female,A
Kevin Knight,male,B_NL
Hendra Setiawan,male,A
Chris Dyer,male,W_NL
Philip Resnik,male,W_NL
Adrià de Gispert,female,HL
Juan Pino,male,HL
William Byrne,male,W_NL
Zhongjun He,male,A
Yao Meng,male,A
Hao Yu,male,A
Dominic Espinosa,male,HL
Rajakrishnan Rajkumar,male,A
Michael White,male,B_NL
Shoshana Berleant,female,B_NL
Christos Christodoulopoulos,male,W_NL
Sharon Goldwater,female,W_NL
Mark Steedman,male,W_NL
Mark Dredze,male,W_NL
Tim Oates,male,B_NL
Christine Piatko,female,W_NL
Shaojun Zhao,male,A
Daniel Gildea,male,W_NL
Samidh Chatterjee,male,A
Nicola Cancedda,female,HL
Libin Shen,male,A
Bing Zhang,male,A
Spyros Matsoukas,male,W_NL
Jinxi Xu,male,A
Ralph Weischedel,male,W_NL
Sankaranarayanan Ananthakrishnan,male,A
Rohit Prasad,male,A
David Stallard,male,W_NL
Prem Natarajan,male,A
Tagyoung Chung,male,A
Daniel Gildea,male,W_NL
Mark Hopkins,male,W_NL
Greg Langmead,male,W_NL
Aurélien Max,male,B_NL
Jinxi Xu,male,A
Antti-Veikko Rosti,male,HL
Eugene Charniak,male,W_NL
Roi Reichart,male,W_NL
Ari Rappoport,male,W_NL
Rebecca Dridan,female,W_NL
Timothy Baldwin,male,W_NL
Slav Petrov,male,W_NL
Pi-Chuan Chang,male,A
Michael Ringgaard,male,W_NL
Hiyan Alshawi,male,A
Qiaoming Zhu,female,A
Junhui Li,male,A
Hongling Wang,female,A
Guodong Zhou,male,A
Rushin Shah,male,A
Paramveer S. Dhillon,male,A
Mark Liberman,male,W_NL
Dean Foster,male,W_NL
Mohamed Maamouri,male,A
Lyle Ungar,male,W_NL
Stephen Boxwell,male,W_NL
Dennis Mehay,male,W_NL
Chris Brew,male,W_NL
Ioannis Klapaftis,male,W_NL
Suresh Manandhar,male,A
Chen Zhang,male,A
Joyce Chai,female,A
Ming-Wei Chang,male,A
Michael Connor,male,W_NL
Dan Roth,male,W_NL
Hai Son Le,male,A
Alexandre Allauzen,male,B_NL
Guillaume Wisniewski,male,W_NL
François Yvon,male,B_NL
Baobao Chang,male,A
Dongxu Han,male,A
Michael Lamar,male,W_NL
Yariv Maron,male,A
Elie Bienenstock,male,W_NL
Peter McClanahan,male,W_NL
George Busby,male,W_NL
Robbie Haertel,male,W_NL
Kristian Heal,male,W_NL
Deryle Lonsdale,male,B_NL
Kevin Seppi,male,W_NL
Eric Ringger,male,W_NL
Vladimir Eidelman,male,W_NL
Zhongqiang Huang,male,A
Mary Harper,female,W_NL
Valentin Zhikov,male,A
Hiroya Takamura,female,A
Manabu Okumura,male,A
Yue Zhang,female,A
Stephen Clark,male,W_NL
Yoong Keok Lee,female,A
Aria Haghighi,female,A
Regina Barzilay,female,W_NL
Su Nam Kim,male,A
Lawrence Cavedon,male,W_NL
Timothy Baldwin,male,W_NL
Bin Chen,male,A
Jian Su,male,A
Chew Lim Tan,male,A
Fang Kong,male,A
Guodong Zhou,male,A
Masaki Murata,female,A
Tomohiro Ohno,male,A
Shigeki Matsubara,female,A
Kostadin Cholakov,male,A
Gertjan van Noord,male,W_NL
Pawel Mazur,male,W_NL
Robert Dale,male,W_NL
Chang Liu,male,A
Daniel Dahlmeier,male,W_NL
Hwee Tou Ng,female,A
Guillaume Wisniewski,male,W_NL
Alexandre Allauzen,male,B_NL
François Yvon,male,B_NL
Hideki Isozaki,female,A
Tsutomu Hirao,female,A
Kevin Duh,male,A
Katsuhito Sudoh,male,A
Hajime Tsukada,male,A
Aida Khemakhem,female,A
Bilel Gargouri,male,A
Abdelmajid Ben Hamadou,male,A
Alla Rozovskaya,female,W_NL
Dan Roth,male,W_NL
Avihai Mejer,male,A
Koby Crammer,male,W_NL
Ekaterina Buyko,female,W_NL
Udo Hahn,male,A
Yassine Benajiba,male,HL
Imed Zitouni,male,A
Laura Chiticariu,female,A
Rajasekar Krishnamurthy,male,A
Yunyao Li,male,A
Frederick Reiss,male,W_NL
Shivakumar Vaithyanathan,male,A
Limin Yao,male,A
Sebastian Riedel,male,HL
Andrew McCallum,male,W_NL
Apoorv Agarwal,male,A
Owen Rambow,male,W_NL
Niklas Jakob,male,W_NL
Iryna Gurevych,female,W_NL
Ainur Yessenalina,female,A
Yisong Yue,male,A
Claire Cardie,female,W_NL
Lei Shi,female,A
Rada Mihalcea,female,HL
Mingjun Tian,male,A
Xiaohua Liu,female,A
Bo Han,male,A
Kuan Li,male,A
Stephan Hyeonjun Stiller,male,W_NL
Ming Zhou,male,A
Yunliang Jiang,male,A
Cindy Xide Lin,female,A
Qiaozhu Mei,female,A
Stefan Schoenmackers,male,W_NL
Jesse Davis,male,B_NL
Oren Etzioni,male,W_NL
Daniel Weld,male,W_NL
Quang Do,male,A
Dan Roth,male,W_NL
Zornitsa Kozareva,female,HL
Eduard Hovy,male,W_NL
Fan Bu,male,A
Xingwei Zhu,male,A
Yu Hao,male,A
Xiaoyan Zhu,male,A
Ruiqiang Zhang,male,A
Yuki Konda,female,A
Anlei Dong,female,A
Pranam Kolari,male,A
Yi Chang,male,A
Zhaohui Zheng,male,A
Amr Ahmed,male,A
Eric Xing,male,A
