Name,Gender,Race
Iryna Gurevych,female,W_NL
Yusuke Miyao,male,A
Ben Athiwaratkun,male,A
Andrew Wilson,male,B_NL
Anima Anandkumar,female,A
Mikhail Khodak,male,A
Nikunj Saunshi,male,A
Yingyu Liang,female,A
Tengyu Ma,female,A
Brandon Stewart,male,W_NL
Sanjeev Arora,male,A
Shoaib Jameel,male,A
Zied Bouraoui,male,A
Steven Schockaert,male,W_NL
Goran Glavaš,male,W_NL
Ivan Vulić,male,A
Zhen Yang,male,A
Wei Chen,male,A
Feng Wang,male,A
Bo Xu,male,A
Shuo Ren,female,A
Wenhu Chen,male,A
Shujie Liu,female,A
Mu Li,male,A
Ming Zhou,male,A
Shuai Ma,female,A
Taku Kudo,female,A
Mia Xu Chen,female,A
Orhan Firat,male,A
Ankur Bapna,male,A
Melvin Johnson,male,B_NL
Wolfgang Macherey,male,A
George Foster,male,W_NL
Llion Jones,male,B_NL
Mike Schuster,male,W_NL
Noam Shazeer,male,A
Niki Parmar,female,A
Ashish Vaswani,male,A
Jakob Uszkoreit,male,W_NL
Lukasz Kaiser,male,W_NL
Zhifeng Chen,male,A
Yonghui Wu,male,A
Macduff Hughes,male,W_NL
Eunsol Choi,female,A
Omer Levy,male,W_NL
Yejin Choi,female,A
Luke Zettlemoyer,male,W_NL
Shikhar Murty,male,A
Patrick Verga,male,W_NL
Luke Vilnis,male,W_NL
Irena Radovanovic,female,W_NL
Andrew McCallum,male,W_NL
Boyang Ding,male,A
Quan Wang,male,A
Bin Wang,male,A
Li Guo,female,A
Chandrahas,,
Aditya Sharma,male,A
Partha Talukdar,male,A
Wan-Ting Hsu,female,A
Chieh-Kai Lin,female,A
Ming-Ying Lee,female,A
Kerui Min,male,A
Jing Tang,female,A
Min Sun,male,A
Aishwarya Jadhav,female,A
Vaibhav Rajan,male,A
Ziqiang Cao,male,A
Wenjie Li,female,A
Sujian Li,male,A
Furu Wei,female,A
Elior Sulem,male,W_NL
Omri Abend,male,A
Ari Rappoport,male,W_NL
Saif Mohammad,male,A
Nathan Schneider,male,W_NL
Jena D. Hwang,female,A
Vivek Srikumar,male,A
Jakob Prange,male,W_NL
Austin Blodgett,male,W_NL
Sarah R. Moeller,female,W_NL
Aviram Stern,male,W_NL
Adi Bitan,male,A
Omri Abend,male,A
Benjamin Nye,male,W_NL
Junyi Jessy Li,female,A
Roma Patel,male,A
Yinfei Yang,female,A
Iain Marshall,male,B_NL
Ani Nenkova,female,A
Byron Wallace,male,B_NL
Keisuke Sakaguchi,male,A
Benjamin Van Durme,male,W_NL
Xinyu Hua,female,A
Lu Wang,female,A
Martin Potthast,male,W_NL
Johannes Kiesel,male,W_NL
Kevin Reinartz,male,W_NL
Janek Bevendorff,male,W_NL
Benno Stein,male,W_NL
Henning Wachsmuth,male,A
Shahbaz Syed,male,A
Benno Stein,male,W_NL
Rakshit Trivedi,male,A
Bunyamin Sisman,male,A
Xin Luna Dong,female,A
Christos Faloutsos,male,W_NL
Jun Ma,male,A
Hongyuan Zha,male,A
Luke Vilnis,male,W_NL
Xiang Li,male,A
Shikhar Murty,male,A
Andrew McCallum,male,W_NL
Daniel Beck,male,W_NL
