Name,Gender,Race
Regina Barzilay,female,W_NL
Mark Johnson,male,B_NL
Sebastian Riedel,male,HL
Andrew McCallum,male,W_NL
Li Wang,female,A
Marco Lui,male,A
Su Nam Kim,male,A
Joakim Nivre,male,W_NL
Timothy Baldwin,male,W_NL
Yin-Wen Chang,female,A
Michael Collins,male,W_NL
Michel Galley,male,W_NL
Chris Quirk,male,W_NL
Shay B. Cohen,female,W_NL
Dipanjan Das,male,A
Noah A. Smith,male,W_NL
Ryan McDonald,male,W_NL
Slav Petrov,male,W_NL
Keith Hall,male,W_NL
Wenliang Chen,male,A
Jun’ichi Kazama,female,A
Min Zhang,male,A
Yoshimasa Tsuruoka,female,A
Yujie Zhang,female,A
Yiou Wang,female,A
Kentaro Torisawa,male,A
Haizhou Li,male,A
Federico Sangati,male,HL
Willem Zuidema,male,W_NL
Prodromos Malakasiotis,male,HL
Ion Androutsopoulos,male,HL
Daniel Dahlmeier,male,W_NL
Hwee Tou Ng,female,A
Zornitsa Kozareva,female,HL
Konstantin Voevodski,male,A
Shanghua Teng,male,A
Vivek Srikumar,male,A
Dan Roth,male,W_NL
Jianxing Yu,male,A
Zheng-Jun Zha,female,A
Meng Wang,male,A
Kai Wang,male,A
Tat-Seng Chua,female,A
Richard Socher,male,W_NL
Jeffrey Pennington,male,W_NL
Eric H. Huang,male,A
Andrew Y. Ng,male,A
Christopher D. Manning,male,W_NL
Lanjun Zhou,female,A
Binyang Li,male,A
Wei Gao,male,A
Zhongyu Wei,male,A
Kam-Fai Wong,male,A
Ainur Yessenalina,female,A
Claire Cardie,female,W_NL
Jason Katz-Brown,male,W_NL
Slav Petrov,male,W_NL
Ryan McDonald,male,W_NL
Franz Och,male,W_NL
David Talbot,male,W_NL
Hiroshi Ichikawa,female,A
Masakazu Seno,male,A
Hideto Kazawa,male,A
John DeNero,male,W_NL
Jakob Uszkoreit,male,W_NL
Jiajun Zhang,male,A
Feifei Zhai,male,A
Chengqing Zong,male,A
Jun Xie,male,A
Haitao Mi,male,A
Qun Liu,female,A
David Mimno,male,W_NL
David Blei,male,W_NL
André Martins,male,B_NL
Noah Smith,male,W_NL
Mário Figueiredo,male,HL
Pedro Aguiar,male,HL
Amit Goyal,male,A
Hal Daumé III,male,B_NL
David Mimno,male,W_NL
Hanna Wallach,female,W_NL
Edmund Talley,male,W_NL
Miriam Leenders,female,W_NL
Andrew McCallum,male,W_NL
Yufan Guo,male,A
Anna Korhonen,female,W_NL
Thierry Poibeau,male,B_NL
Anna Kazantseva,female,A
Stan Szpakowicz,male,W_NL
Quang Do,male,A
Yee Seng Chan,male,A
Dan Roth,male,W_NL
Amit Dubey,male,A
Frank Keller,male,W_NL
Patrick Sturt,male,W_NL
Taylor Berg-Kirkpatrick,female,B_NL
Dan Klein,male,W_NL
Young-Bum Kim,female,A
João Graça,male,HL
Benjamin Snyder,male,W_NL
Michael Auli,male,W_NL
Adam Lopez,male,HL
David Hall,male,W_NL
Dan Klein,male,W_NL
Amittai Axelrod,male,A
Xiaodong He,male,A
Jianfeng Gao,male,A
Gennadi Lembersky,male,W_NL
Noam Ordan,male,HL
Shuly Wintner,female,W_NL
Chang Liu,male,A
Daniel Dahlmeier,male,W_NL
Hwee Tou Ng,female,A
Reut Tsarfaty,female,A
Joakim Nivre,male,W_NL
Evelina Andersson,female,W_NL
Emily M. Bender,female,W_NL
Dan Flickinger,male,W_NL
Stephan Oepen,male,W_NL
Yi Zhang,male,A
Kristian Woodsend,male,W_NL
Mirella Lapata,female,HL
Yoav Artzi,male,W_NL
Luke Zettlemoyer,male,W_NL
Rui Yan,male,A
Liang Kong,male,A
Congrui Huang,female,A
Xiaojun Wan,male,A
Xiaoming Li,male,A
Yan Zhang,male,A
Yezhou Yang,female,A
Ching Teo,male,A
Hal Daumé III,male,B_NL
Yiannis Aloimonos,male,HL
Enrique Amigó,male,HL
Julio Gonzalo,male,HL
Jesús Giménez,male,HL
Felisa Verdejo,female,HL
Peter Rankel,male,W_NL
John Conroy,male,W_NL
Eric Slud,male,W_NL
Dianne O’Leary,female,W_NL
Kevin Gimpel,male,W_NL
Noah A. Smith,male,W_NL
Karthik Visweswariah,male,A
Rajakrishnan Rajkumar,male,A
Ankur Gandhe,male,A
Ananthakrishnan Ramanathan,male,A
Jiri Navratil,male,A
Jason Riesa,male,W_NL
Ann Irvine,female,W_NL
Daniel Marcu,male,W_NL
Fabien Cromieres,male,HL
Sadao Kurohashi,male,A
Bryan Rink,male,W_NL
Sanda Harabagiu,female,A
Ni Lao,female,A
Tom Mitchell,male,B_NL
William W. Cohen,male,W_NL
Matthias Hartung,male,W_NL
Anette Frank,female,W_NL
Weiwei Guo,female,A
Mona Diab,female,A
Samuel Brody,male,W_NL
Nicholas Diakopoulos,male,W_NL
Deepak Agarwal,male,A
Bee-Chung Chen,female,A
Bo Pang,male,A
Alan Ritter,male,W_NL
Colin Cherry,male,B_NL
William B. Dolan,male,W_NL
Dani Yogatama,female,A
Michael Heilman,male,W_NL
Brendan O’Connor,male,W_NL
Chris Dyer,male,W_NL
Bryan R. Routledge,male,W_NL
Noah A. Smith,male,W_NL
Yugo Murawaki,male,A
Sadao Kurohashi,male,A
Markus Dreyer,male,W_NL
Jason Eisner,male,W_NL
Ai Azuma,female,A
Yuji Matsumoto,male,A
Christos Christodoulopoulos,male,W_NL
Sharon Goldwater,female,W_NL
Mark Steedman,male,W_NL
Su Nam Kim,male,A
Preslav Nakov,male,A
Fabio Massimo Zanzotto,male,HL
Marco Pennacchiotti,male,HL
Kostas Tsioutsiouliklis,male,W_NL
Matteo Negri,male,HL
Luisa Bentivogli,female,HL
Yashar Mehdad,male,A
Danilo Giampiccolo,male,HL
Alessandro Marchetti,male,HL
Peter Turney,male,W_NL
Yair Neuman,male,A
Dan Assaf,male,A
Yohai Cohen,male,A
Denis Filimonov,male,W_NL
Mary Harper,female,W_NL
Keith Vertanen,male,W_NL
Per Ola Kristensson,male,A
Alessandro Moschitti,male,HL
Jennifer Chu-Carroll,female,W_NL
Siddharth Patwardhan,male,A
James Fan,male,A
Giuseppe Riccardi,male,W_NL
Spence Green,male,B_NL
Marie-Catherine de Marneffe,female,W_NL
John Bauer,male,W_NL
Christopher D. Manning,male,W_NL
Amal Al-Saif,male,A
Katja Markert,female,W_NL
Ashequl Qadir,male,A
Ellen Riloff,female,W_NL
Richárd Farkas,male,W_NL
Zheng Chen,male,A
Heng Ji,male,A
Johannes Hoffart,male,W_NL
Mohamed Amir Yosef,male,A
Ilaria Bordino,female,HL
Hagen Fürstenau,male,W_NL
Manfred Pinkal,male,A
Marc Spaniol,male,W_NL
Bilyana Taneva,female,A
Stefan Thater,male,W_NL
Gerhard Weikum,male,W_NL
Lukas Michelbacher,male,W_NL
Alok Kothari,male,A
Martin Forst,male,W_NL
Christina Lioma,female,A
Hinrich Schütze,male,W_NL
Swapna Gottipati,female,A
Jing Jiang,male,A
Cane Wing-ki Leung,male,A
Jing Jiang,male,A
Kian Ming A. Chai,male,A
Hai Leong Chieu,male,A
Loo-Nin Teow,male,A
Stijn De Saeger,male,A
Kentaro Torisawa,male,A
Masaaki Tsuchida,female,A
Jun’ichi Kazama,female,A
Chikara Hashimoto,female,A
Ichiro Yamada,male,A
Jong Hoon Oh,male,A
Istvan Varga,male,HL
Yulan Yan,female,A
Yulia Tsvetkov,male,A
Shuly Wintner,female,W_NL
Xabier Saralegi,male,HL
Iker Manterola,male,HL
Iñaki San Vicente,male,A
Yang Gao,male,A
Philipp Koehn,male,W_NL
Alexandra Birch,female,W_NL
Christof Monz,male,W_NL
Xinyan Xiao,female,A
Yang Liu,male,A
Qun Liu,female,A
Shouxun Lin,female,A
J. Scott McCarley,male,W_NL
Abraham Ittycheriah,male,A
Salim Roukos,male,A
Bing Xiang,male,A
Jian-ming Xu,male,A
Andrea Gesmundo,female,HL
James Henderson,male,B_NL
Zhengxian Gong,male,A
Min Zhang,male,A
Guodong Zhou,male,A
Zhifei Li,male,A
Ziyuan Wang,male,A
Jason Eisner,male,W_NL
Sanjeev Khudanpur,male,A
Brian Roark,male,W_NL
