Name,Gender,Race
Alessandro Moschitti,male,HL
Bo Pang,male,A
Walter Daelemans,male,W_NL
Salim Roukos,male,A
Jianfeng Gao,male,A
Patrick Pantel,male,W_NL
Michael Gamon,male,HL
Xiaodong He,male,A
Li Deng,female,A
Martin Sundermeyer,male,W_NL
Tamer Alkhouli,male,A
Joern Wuebker,male,W_NL
Hermann Ney,male,W_NL
Tim Van de Cruys,male,A
Douwe Kiela,male,A
Léon Bottou,male,B_NL
Christian Stab,male,W_NL
Iryna Gurevych,female,W_NL
Zhuoran Wang,male,A
Hongliang Chen,male,A
Guanchun Wang,male,A
Hao Tian,male,A
Hua Wu,male,A
Haifeng Wang,male,A
Fang Kong,male,A
Hwee Tou Ng,female,A
Guodong Zhou,male,A
Julian Hough,male,W_NL
Matthew Purver,male,W_NL
Fan Yang,male,A
Paul Vozila,male,W_NL
Nobuhiro Kaji,male,A
Masaru Kitsuregawa,female,A
Jiang Guo,male,A
Wanxiang Che,male,A
Haifeng Wang,male,A
Ting Liu,female,A
Xuancong Wang,female,A
Khe Chai Sim,male,A
Hwee Tou Ng,female,A
Katrin Kirchhoff,female,W_NL
Jeff Bilmes,male,W_NL
Haiyang Wu,male,A
Daxiang Dong,male,A
Xiaoguang Hu,male,A
Dianhai Yu,female,A
Wei He,male,A
Hua Wu,male,A
Haifeng Wang,male,A
Ting Liu,female,A
Zhongjun He,male,A
Hua Wu,male,A
Haifeng Wang,male,A
Ting Liu,female,A
Hidetaka Kamigaito,female,A
Taro Watanabe,male,A
Hiroya Takamura,female,A
Manabu Okumura,male,A
Sauleh Eetemadi,male,A
Kristina Toutanova,female,HL
Hideya Mino,female,A
Taro Watanabe,male,A
Eiichiro Sumita,male,A
Yvette Graham,female,B_NL
Timothy Baldwin,male,W_NL
Yue Zhang,female,A
Kai Song,male,A
Linfeng Song,male,A
Jingbo Zhu,male,A
Qun Liu,female,A
Jingyi Zhang,female,A
Masao Utiyama,male,A
Eiichiro Sumita,male,A
Hai Zhao,male,A
Rui Wang,male,A
Hai Zhao,male,A
Bao-Liang Lu,female,A
Masao Utiyama,male,A
Eiichiro Sumita,male,A
Kostadin Cholakov,male,A
Valia Kordoni,female,A
Miloš Stanojević,male,W_NL
Khalil Sima’an,male,A
Houda Bouamor,female,A
Hanan Alshikhabobakr,male,A
Behrang Mohit,male,A
Kemal Oflazer,male,B_NL
Francisco Guzmán,male,HL
Shafiq Joty,male,A
Lluís Màrquez,male,HL
Alessandro Moschitti,male,HL
Preslav Nakov,male,A
Massimo Nicosia,male,HL
Maryam Siahbani,female,A
Anoop Sarkar,male,A
Martin Čmejrek,male,W_NL
Leila Wehbe,female,W_NL
Ashish Vaswani,male,A
Kevin Knight,male,B_NL
Tom Mitchell,male,B_NL
Aida Nematzadeh,female,A
Afsaneh Fazly,female,A
Suzanne Stevenson,female,W_NL
Felix Hill,male,B_NL
Anna Korhonen,female,W_NL
Longkai Zhang,female,A
Houfeng Wang,male,A
Simon Baker,male,B_NL
Roi Reichart,male,W_NL
Anna Korhonen,female,W_NL
Liang Sun,male,A
Jason Mielens,male,W_NL
Jason Baldridge,male,W_NL
Ioannis Konstas,male,W_NL
Frank Keller,male,W_NL
Vera Demberg,female,W_NL
Mirella Lapata,female,HL
Cagil Sönmez,male,HL
Arzucan Özgür,male,HL
Mohamed Yahya,male,A
Steven Whang,male,A
Rahul Gupta,male,A
Alon Halevy,male,B_NL
Benjamin Wing,male,W_NL
Jason Baldridge,male,W_NL
Ivan Vulić,male,A
Marie-Francine Moens,female,W_NL
Haitong Yang,female,A
Chengqing Zong,male,A
Luciano Del Corro,male,HL
Rainer Gemulla,male,B_NL
Gerhard Weikum,male,W_NL
R. Koncel-Kedziorski,male,A
Hannaneh Hajishirzi,female,A
Ali Farhadi,male,A
Matt Gardner,male,W_NL
Partha Talukdar,male,A
Jayant Krishnamurthy,male,A
Tom Mitchell,male,B_NL
Michael Roth,male,W_NL
Kristian Woodsend,male,W_NL
Tommaso Caselli,male,W_NL
Carlo Strapparava,male,HL
Muntsa Padró,female,HL
Marco Idiart,male,HL
Aline Villavicencio,female,HL
Carlos Ramisch,male,HL
Nima Pourdamghani,male,A
Yang Gao,male,A
Ulf Hermjakob,male,W_NL
Kevin Knight,male,B_NL
Xavier Lluís,male,HL
Xavier Carreras,male,HL
Lluís Màrquez,male,HL
Iman Saleh,male,A
Alessandro Moschitti,male,HL
Preslav Nakov,male,A
Lluís Màrquez,male,HL
Shafiq Joty,male,A
Mohamed Morchid,male,A
Mohamed Bouallegue,male,A
Richard Dufour,male,W_NL
Georges Linarès,male,HL
Driss Matrouf,male,W_NL
Renato de Mori,male,HL
Nikolaos Pappas,male,W_NL
Andrei Popescu-Belis,male,W_NL
Jiwei Li,male,A
Eduard Hovy,male,W_NL
Duyu Tang,female,A
Furu Wei,female,A
Bing Qin,male,A
Li Dong,male,A
Ting Liu,female,A
Ming Zhou,male,A
Yafeng Ren,female,A
Donghong Ji,female,A
Hongbin Zhang,male,A
Varada Kolhatkar,male,A
Graeme Hirst,male,W_NL
Will Roberts,male,W_NL
Markus Egg,male,W_NL
Mohammad Javad Hosseini,male,A
Hannaneh Hajishirzi,female,A
Oren Etzioni,male,W_NL
Nate Kushman,male,W_NL
Gabor Angeli,male,W_NL
Christopher D. Manning,male,W_NL
Fandong Meng,male,A
Deyi Xiong,male,A
Wenbin Jiang,male,A
Qun Liu,female,A
Qing Dou,female,A
Ashish Vaswani,male,A
Kevin Knight,male,B_NL
Hoang Cuong,male,A
Khalil Sima’an,male,A
Fabien Cromières,male,HL
Sadao Kurohashi,male,A
Ferhan Ture,male,B_NL
Elizabeth Boschee,female,W_NL
Salvatore Romeo,male,A
Andrea Tagarelli,female,A
Dino Ienco,male,HL
Martin Riedl,male,W_NL
Michael Glass,male,W_NL
Alfio Gliozzo,male,HL
Antoine Bordes,male,B_NL
Sumit Chopra,male,A
Jason Weston,male,W_NL
Derek Barnes,male,B_NL
Mahesh Joshi,male,A
Hassan Sawaf,male,A
Ralf Brown,male,B_NL
Mohit Iyyer,male,A
Jordan Boyd-Graber,male,W_NL
Leonardo Claudino,male,HL
Richard Socher,male,W_NL
Hal Daumé III,male,B_NL
Min-Chul Yang,male,A
Nan Duan,female,A
Ming Zhou,male,A
Hae-Chang Rim,female,A
Thanapon Noraset,male,A
Chandra Bhagavatula,female,A
