Name,Gender,Race
Katrin Erk,female,W_NL
Noah A. Smith,male,W_NL
James Goodman,male,W_NL
Andreas Vlachos,male,W_NL
Jason Naradowsky,male,W_NL
Robin Jia,male,A
Percy Liang,male,A
Panupong Pasupat,male,A
Percy Liang,male,A
Li Dong,male,A
Mirella Lapata,female,HL
Dian Yu,female,A
Heng Ji,male,A
Di Lu,female,A
Xiaoman Pan,male,A
Nima Pourdamghani,male,A
Shih-Fu Chang,female,A
Heng Ji,male,A
Kevin Knight,male,B_NL
Joern Wuebker,male,W_NL
Spence Green,male,B_NL
John DeNero,male,W_NL
Saša Hasan,female,A
Minh-Thang Luong,male,A
Zhaopeng Tu,male,A
Zhengdong Lu,male,A
Yang Liu,male,A
Xiaohua Liu,female,A
Hang Li,female,A
Rico Sennrich,male,A
Barry Haddow,male,W_NL
Alexandra Birch,female,W_NL
Liangyou Li,male,A
Andy Way,male,A
Qun Liu,female,A
Lanbo She,female,A
Joyce Chai,female,A
Gerold Hintz,male,W_NL
Chris Biemann,male,W_NL
Yulia Tsvetkov,male,A
Manaal Faruqui,male,A
Wang Ling,male,A
Brian MacWhinney,male,W_NL
Chris Dyer,male,W_NL
Caglar Gulcehre,male,HL
Sungjin Ahn,male,A
Ramesh Nallapati,male,A
Bowen Zhou,male,A
Yoshua Bengio,male,HL
Bernd Bohnet,male,W_NL
Ryan McDonald,male,W_NL
Emily Pitler,female,W_NL
Ji Ma,female,A
Matthieu Constant,male,B_NL
Joakim Nivre,male,W_NL
Maximin Coavoux,male,B_NL
Benoît Crabbé,male,W_NL
E. Dario Gutiérrez,male,HL
Ekaterina Shutova,female,A
Tyler Marghetis,male,B_NL
Benjamin Bergen,male,W_NL
Giancarlo Salton,male,B_NL
Robert Ross,male,W_NL
John Kelleher,male,W_NL
Kazuma Hashimoto,female,A
Yoshimasa Tsuruoka,female,A
Hyeju Jang,female,A
Yohan Jo,male,A
Qinlan Shen,male,A
Michael Miller,male,W_NL
Seungwhan Moon,male,A
Carolyn Rosé,female,W_NL
Yunchuan Chen,male,A
Lili Mou,female,A
Yan Xu,male,A
Ge Li,male,A
Zhi Jin,male,A
Yadollah Yaghoobzadeh,male,A
Hinrich Schütze,male,W_NL
Ivan Vulić,male,A
Anna Korhonen,female,W_NL
Lifu Huang,male,A
Taylor Cassidy,female,B_NL
Xiaocheng Feng,male,A
Heng Ji,male,A
Clare R. Voss,female,W_NL
Jiawei Han,male,A
Avirup Sil,male,A
Deyu Zhou,male,A
Tianmeng Gao,female,A
Yulan He,female,A
Karl Pichotta,male,W_NL
Raymond J. Mooney,male,W_NL
Haoruo Peng,male,A
Dan Roth,male,W_NL
Fangzhao Wu,male,A
Yongfeng Huang,male,A
Hannah Rashkin,female,W_NL
Sameer Singh,male,A
Yejin Choi,female,A
Guangyou Zhou,male,A
Zhiwen Xie,male,A
Jimmy Xiangji Huang,male,A
Tingting He,female,A
Eunsol Choi,female,A
Hannah Rashkin,female,W_NL
Luke Zettlemoyer,male,W_NL
Yejin Choi,female,A
Zhenghua Li,female,A
Min Zhang,male,A
Yue Zhang,female,A
Zhanyi Liu,female,A
Wenliang Chen,male,A
Hua Wu,male,A
Haifeng Wang,male,A
Caio Corro,male,HL
Joseph Le Roux,male,W_NL
Mathieu Lacroix,male,A
Antoine Rozenknop,male,B_NL
Roberto Wolfler Calvo,male,HL
Fernando Diaz,male,HL
Bhaskar Mitra,male,A
Nick Craswell,male,W_NL
Arpita Das,female,A
Harish Yenala,male,A
Manoj Chinnakotla,male,A
Manish Shrivastava,male,A
Hao Peng,male,A
Jing Liu,female,A
Chin-Yew Lin,male,A
Aliya Deri,female,A
Kevin Knight,male,B_NL
Deng Cai,male,A
Hai Zhao,male,A
Meishan Zhang,male,A
Yue Zhang,female,A
Guohong Fu,male,A
Adam Trischler,male,W_NL
Zheng Ye,male,A
Xingdi Yuan,female,A
Jing He,male,A
Philip Bachman,male,W_NL
Gabor Angeli,male,W_NL
Neha Nayak,female,A
Christopher D. Manning,male,W_NL
Mrinmaya Sachan,female,A
Eric Xing,male,A
Ming Tan,male,A
Cicero dos Santos,male,HL
Bing Xiang,male,A
Bowen Zhou,male,A
Sujay Kumar Jauhar,male,A
Peter Turney,male,W_NL
Eduard Hovy,male,W_NL
Jianpeng Cheng,male,A
Mirella Lapata,female,HL
Federico Fancellu,male,HL
Adam Lopez,male,HL
Bonnie Webber,female,W_NL
Yashen Wang,male,A
Heyan Huang,male,A
Chong Feng,male,A
Qiang Zhou,male,A
Jiahui Gu,female,A
Xiong Gao,male,A
Zhao Yan,male,A
Nan Duan,female,A
Junwei Bao,male,A
Peng Chen,male,A
Ming Zhou,male,A
Zhoujun Li,female,A
Jianshe Zhou,male,A
Gabriel Doyle,male,W_NL
Michael C. Frank,male,W_NL
Yang Xu,male,A
David Reitter,male,W_NL
Sabine Janzen,female,W_NL
Wolfgang Maaß,male,A
Tobias Kowatsch,male,W_NL
Biao Liu,male,A
Minlie Huang,female,A
Thiago Castro Ferreira,male,HL
Emiel Krahmer,male,W_NL
Sander Wubben,male,W_NL
Arun Chaganty,male,A
Percy Liang,male,A
Iulian Vlad Serban,male,A
Alberto García-Durán,male,HL
Caglar Gulcehre,male,HL
Sungjin Ahn,male,A
Sarath Chandar,male,A
Aaron Courville,male,W_NL
Yoshua Bengio,male,HL
Wang Ling,male,A
Phil Blunsom,male,B_NL
Edward Grefenstette,male,W_NL
Karl Moritz Hermann,male,W_NL
Tomáš Kočiský,male,W_NL
Fumin Wang,male,A
Andrew Senior,male,W_NL
Sina Zarrieß,female,A
David Schlangen,male,W_NL
Amir Globerson,male,A
Nevena Lazic,female,W_NL
Soumen Chakrabarti,male,A
Amarnag Subramanya,male,A
Michael Ringgaard,male,W_NL
Fernando Pereira,male,HL
Nafise Sadat Moosavi,female,A
Michael Strube,male,W_NL
Kevin Clark,male,W_NL
Christopher D. Manning,male,W_NL
Catherine Finegan-Dollak,female,W_NL
Reed Coke,male,W_NL
Rui Zhang,male,A
Xiangyi Ye,female,A
Dragomir Radev,male,W_NL
Shaohua Li,male,A
Tat-Seng Chua,female,A
Jun Zhu,male,A
Chunyan Miao,male,A
Bei Shi,female,A
Wai Lam,male,A
Lidong Bing,male,A
Yinqing Xu,female,A
Weiwei Yang,female,A
Jordan Boyd-Graber,male,W_NL
Philip Resnik,male,W_NL
Nora Al-Twairesh,female,A
Hend Al-Khalifa,male,A
Abdulmalik Al-Salman,male,A
Khaled Aldebei,male,A
Xiangjian He,male,A
Wenjing Jia,female,A
Jie Yang,male,A
Dimitrios Alikaniotis,male,W_NL
Helen Yannakoudakis,female,W_NL
Marek Rei,male,A
I. Beltagy,male,A
Chris Quirk,male,W_NL
Yevgeni Berzak,male,W_NL
Jessica Kenney,female,W_NL
Carolyn Spadine,female,W_NL
Jing Xian Wang,male,A
Lucia Lam,female,A
Keiko Sophie Mori,female,A
Sebastian Garza,male,HL
Boris Katz,male,W_NL
Joachim Bingel,male,W_NL
Maria Barrett,female,HL
Anders Søgaard,male,W_NL
Rui Cai,male,A
Xiaodong Zhang,male,A
Houfeng Wang,male,A
Bo Chen,male,A
Le Sun,female,A
Xianpei Han,male,A
Bo An,male,A
Chen Chen,male,A
Vincent Ng,male,A
Ronan Cummins,male,W_NL
Meng Zhang,male,A
Ted Briscoe,male,B_NL
Zihang Dai,male,A
Lei Li,female,A
Wei Xu,male,A
Judith Eckle-Kohler,female,W_NL
Akiko Eriguchi,female,A
Kazuma Hashimoto,female,A
Yoshimasa Tsuruoka,female,A
Jessica Ficler,female,W_NL
Yoav Goldberg,male,W_NL
Lucie Flekova,female,W_NL
Jordan Carpenter,male,W_NL
Salvatore Giorgi,male,W_NL
Lyle Ungar,male,W_NL
Daniel Preoţiuc-Pietro,male,HL
Lin Gong,male,A
Mohammad Al Boni,male,A
Hongning Wang,male,A
Jonathan Gordon,male,W_NL
Linhong Zhu,female,A
Aram Galstyan,male,A
Prem Natarajan,male,A
Gully Burns,female,W_NL
Kenneth Heafield,male,W_NL
Chase Geigle,male,W_NL
Sean Massung,male,W_NL
Lane Schwartz,male,W_NL
Danqing Huang,female,A
Shuming Shi,male,A
Chin-Yew Lin,male,A
Jian Yin,male,A
Wei-Ying Ma,female,A
Ignacio Iacobacci,male,HL
Mohammad Taher Pilehvar,male,A
Roberto Navigli,male,HL
Rudolf Kadlec,male,W_NL
Martin Schmid,male,W_NL
Ondrej Bajgar,male,W_NL
Jan Kleindienst,male,W_NL
Arzoo Katiyar,female,A
Claire Cardie,female,W_NL
Yoshihide Kato,female,A
Shigeki Matsubara,female,A
Tom Kenter,male,W_NL
Alexey Borisov,male,W_NL
Maarten de Rijke,male,A
Fereshte Khani,male,A
Martin Rinard,male,W_NL
Percy Liang,male,A
Seokhwan Kim,male,A
Rafael Banchs,male,HL
Haizhou Li,male,A
Ekaterina Kochmar,female,A
Ekaterina Shutova,female,A
John Lee,male,A
Donald Sturgeon,male,W_NL
Mengqi Luo,female,A
Jiwei Li,male,A
Michel Galley,male,W_NL
Chris Brockett,male,W_NL
Georgios Spithourakis,male,W_NL
Jianfeng Gao,male,A
Bill Dolan,male,W_NL
Juzheng Li,male,A
Jun Zhu,male,A
Bo Zhang,male,A
Nut Limsopatham,male,A
Nigel Collier,male,B_NL
Chunyang Liu,female,A
Yang Liu,male,A
Maosong Sun,male,A
Huanbo Luan,male,A
Heng Yu,male,A
Pengfei Liu,male,A
Xipeng Qiu,male,A
Jifan Chen,male,A
Xuanjing Huang,male,A
Tong Liu,male,A
Christopher Homan,male,W_NL
Cecilia Ovesdotter Alm,female,B_NL
Megan Lytle,female,W_NL
Ann Marie White,female,B_NL
Henry Kautz,male,W_NL
Minh-Thang Luong,male,A
Christopher D. Manning,male,W_NL
