Name,Gender,Race
Jan Hajič,male,W_NL
Sandra Carberry,female,W_NL
Stephen Clark,male,W_NL
Joakim Nivre,male,W_NL
Terry Koo,male,A
Michael Collins,male,W_NL
Wenbin Jiang,male,A
Qun Liu,female,A
Wenliang Chen,male,A
Jun’ichi Kazama,female,A
Kentaro Torisawa,male,A
Alexander Koller,male,W_NL
Stefan Thater,male,W_NL
Nils Reiter,male,W_NL
Anette Frank,female,W_NL
Xianpei Han,male,A
Jun Zhao,male,A
Frank Rudzicz,male,W_NL
Srinivasan Janarthanam,male,A
Oliver Lemon,male,B_NL
Shih-Hsiang Lin,female,A
Berlin Chen,male,A
Steven Abney,male,W_NL
Steven Bird,male,W_NL
Daphna Shezaf,female,A
Ari Rappoport,male,W_NL
Hiroshi Echizen-ya,male,A
Kenji Araki,male,A
Fei Wu,male,A
Daniel S. Weld,male,W_NL
Laura Chiticariu,female,A
Rajasekar Krishnamurthy,male,A
Yunyao Li,male,A
Sriram Raghavan,male,A
Frederick Reiss,male,W_NL
Shivakumar Vaithyanathan,male,A
David Elson,male,W_NL
Nicholas Dames,male,B_NL
Kathleen McKeown,female,W_NL
Xiangyu Duan,female,A
Min Zhang,male,A
Haizhou Li,male,A
Jason Riesa,male,W_NL
Daniel Marcu,male,W_NL
Marie-Catherine de Marneffe,female,W_NL
Christopher D. Manning,male,W_NL
Christopher Potts,male,W_NL
Ethan Selfridge,male,W_NL
Peter Heeman,male,W_NL
Jackie Chi Kit Cheung,male,A
Gerald Penn,male,B_NL
Jeff Mitchell,male,W_NL
Mirella Lapata,female,HL
Vera Demberg,female,W_NL
Frank Keller,male,W_NL
Matthew Honnibal,male,W_NL
James R. Curran,male,W_NL
Johan Bos,male,W_NL
Roberto Navigli,male,HL
Simone Paolo Ponzetto,male,A
Omri Abend,male,A
Ari Rappoport,male,W_NL
Danilo Croce,male,A
Cristina Giannone,female,HL
Paolo Annesi,male,HL
Roberto Basili,male,HL
Jun’ichi Kazama,female,A
Stijn De Saeger,male,A
Kow Kuroda,male,A
Masaki Murata,female,A
Kentaro Torisawa,male,A
Jia Wang,female,A
Qing Li,female,A
Yuanzhu Peter Chen,male,A
Zhangxi Lin,female,A
Xu Sun,male,A
Jianfeng Gao,male,A
Daniel Micol,male,W_NL
Chris Quirk,male,W_NL
Ruihong Huang,female,A
Ellen Riloff,female,W_NL
Raphael Hoffmann,male,W_NL
Congle Zhang,female,A
Daniel S. Weld,male,W_NL
Hoifung Poon,female,A
Pedro Domingos,male,HL
Jun Sun,male,A
Min Zhang,male,A
Chew Lim Tan,male,A
Shujie Liu,female,A
Chi-Ho Li,male,A
Ming Zhou,male,A
Xianchao Wu,male,A
Takuya Matsuzaki,female,A
Jun’ichi Tsujii,female,A
Timothy A. D. Fowler,male,W_NL
Gerald Penn,male,B_NL
Jonathan K. Kummerfeld,male,W_NL
Jessika Roesner,female,W_NL
Tim Dawborn,male,W_NL
James Haggerty,male,W_NL
James R. Curran,male,W_NL
Stephen Clark,male,W_NL
Manabu Sassano,male,A
Sadao Kurohashi,male,A
Nikolaos Trogkanis,male,W_NL
Charles Elkan,male,W_NL
Sebastian Spiegler,male,W_NL
Peter A. Flach,male,W_NL
Joseph Turian,male,W_NL
Lev-Arie Ratinov,male,W_NL
Yoshua Bengio,male,HL
Ahmed Hassan,male,A
Dragomir R. Radev,male,W_NL
Wei Wei,male,A
Jon Atle Gulla,male,W_NL
Shoushan Li,male,A
Chu-Ren Huang,female,A
Guodong Zhou,male,A
Sophia Yat Mei Lee,female,A
Alan Ritter,male,W_NL
Mausam,,
Oren Etzioni,male,W_NL
