Name,Gender,Race
David Yarowsky,male,W_NL
Timothy Baldwin,male,W_NL
Anna Korhonen,female,W_NL
Karen Livescu,female,W_NL
Steven Bethard,male,W_NL
Tao Ge,male,A
Baobao Chang,male,A
Sujian Li,male,A
Zhifang Sui,female,A
Jun-Ping Ng,female,A
Min-Yen Kan,female,A
Ziheng Lin,male,A
Wei Feng,male,A
Bin Chen,male,A
Jian Su,male,A
Chew-Lim Tan,male,A
Benjamin Roth,male,W_NL
Dietrich Klakow,male,W_NL
Stella Frank,female,W_NL
Frank Keller,male,W_NL
Sharon Goldwater,female,W_NL
Micha Elsner,female,W_NL
Sharon Goldwater,female,W_NL
Naomi Feldman,female,W_NL
Frank Wood,male,W_NL
Joshua Moore,male,W_NL
Christopher J.C. Burges,male,B_NL
Erin Renshaw,female,W_NL
Wen-tau Yih,female,A
Yi Yang,female,A
Jacob Eisenstein,male,W_NL
Wang Ling,male,A
Chris Dyer,male,W_NL
Alan W Black,male,W_NL
Isabel Trancoso,female,HL
Jing Liu,female,A
Quan Wang,male,A
Chin-Yew Lin,male,A
Hsiao-Wuen Hon,male,A
Yanchuan Sim,male,A
Brice D. L. Acree,male,B_NL
Justin H. Gross,male,W_NL
Noah A. Smith,male,W_NL
Dekai Wu,male,A
Karteek Addanki,male,A
Markus Saers,male,W_NL
Meriem Beloucif,female,A
James Foulds,male,W_NL
Padhraic Smyth,male,W_NL
Mohammad Sadegh Rasooli,male,A
Joel Tetreault,male,W_NL
Masashi Tsubaki,female,A
Kevin Duh,male,A
Masashi Shimbo,male,A
Yuji Matsumoto,male,A
Eva Maria Vecchi,female,HL
Roberto Zamparelli,male,HL
Marco Baroni,male,HL
Min Xiao,male,A
Feipeng Zhao,male,A
Yuhong Guo,female,A
Om P. Damani,male,A
Shweta Ghonge,female,A
Stefano Faralli,male,W_NL
Roberto Navigli,male,HL
Chia-ying Lee,female,A
Yu Zhang,female,A
James Glass,male,W_NL
Matthew Richardson,male,W_NL
Christopher J.C. Burges,male,B_NL
Erin Renshaw,female,W_NL
Katsuhito Sudoh,male,A
Shinsuke Mori,male,A
Masaaki Nagata,female,A
Alexander Rush,male,W_NL
Yin-Wen Chang,female,A
Michael Collins,male,W_NL
Makoto Yasuhara,male,A
Toru Tanaka,female,A
Jun-ya Norimatsu,female,A
Mikio Yamamoto,male,A
Anil Kumar Nelakanti,male,A
Cédric Archambeau,male,B_NL
Julien Mairal,male,A
Francis Bach,male,W_NL
Guillaume Bouchard,male,W_NL
Jesús González-Rubio,male,HL
Daniel Ortiz-Martínez,male,HL
José-Miguel Benedí,male,HL
Francisco Casacuberta,male,HL
Xinyan Xiao,female,A
Deyi Xiong,male,A
Jonathan K. Kummerfeld,male,W_NL
Dan Klein,male,W_NL
Fang Kong,male,A
Hwee Tou Ng,female,A
Hannaneh Hajishirzi,female,A
Leila Zilles,female,W_NL
Daniel S. Weld,male,W_NL
Luke Zettlemoyer,male,W_NL
Varada Kolhatkar,male,A
