Name,Gender,Race
Jill Burstein,female,W_NL
Christy Doran,female,W_NL
Thamar Solorio,male,HL
Nora Hollenstein,female,W_NL
Ce Zhang,male,A
Yair Lakretz,male,HL
German Kruszewski,male,W_NL
Theo Desbordes,male,B_NL
Dieuwke Hupkes,female,B_NL
Stanislas Dehaene,male,W_NL
Marco Baroni,male,HL
Hadi Amiri,male,A
Richard Futrell,male,W_NL
Ethan Wilcox,male,W_NL
Takashi Morita,male,A
Peng Qian,male,A
Miguel Ballesteros,male,HL
Roger Levy,male,W_NL
Dan Schwartz,male,W_NL
Tom Mitchell,male,B_NL
Sameer Bansal,male,A
Herman Kamper,male,W_NL
Karen Livescu,female,W_NL
Adam Lopez,male,HL
Sharon Goldwater,female,W_NL
Cory Shain,male,W_NL
Micha Elsner,female,W_NL
Vicky Zayats,female,W_NL
Mari Ostendorf,female,W_NL
Oliver Adams,male,B_NL
Matthew Wiesner,male,W_NL
Shinji Watanabe,female,A
David Yarowsky,male,W_NL
Nikolai Vogler,male,W_NL
Craig Stewart,male,W_NL
Graham Neubig,male,W_NL
Chris Dongjoo Kim,male,A
Byeongchang Kim,male,A
Hyunmin Lee,male,A
Gunhee Kim,female,A
Nabil Hossain,male,A
John Krumm,male,W_NL
Michael Gamon,male,HL
Sudha Rao,female,A
Hal Daumé III,male,B_NL
Wei Zhao,male,A
Liang Wang,male,A
Kewei Shen,male,A
Ruoyu Jia,female,A
Jingming Liu,male,A
Wenlin Wang,female,A
Zhe Gan,male,A
Hongteng Xu,male,A
Ruiyi Zhang,male,A
Guoyin Wang,male,A
Dinghan Shen,male,A
Changyou Chen,male,A
Lawrence Carin,male,B_NL
Thomas Ruprecht,male,W_NL
Tobias Denkinger,male,W_NL
Mathieu Dehouck,male,A
Pascal Denis,male,B_NL
Maximin Coavoux,male,B_NL
Shay B. Cohen,female,W_NL
Guillaume Wisniewski,male,W_NL
François Yvon,male,B_NL
Miloš Stanojević,male,W_NL
Mark Steedman,male,W_NL
Hao Fu,male,A
Chunyuan Li,male,A
Xiaodong Liu,male,A
Jianfeng Gao,male,A
Asli Celikyilmaz,female,A
Lawrence Carin,male,B_NL
Natalie Schluter,female,W_NL
Gijs Wijnholds,male,W_NL
Mehrnoosh Sadrzadeh,male,A
Chu-Cheng Lin,female,A
Hao Zhu,male,A
Matthew R. Gormley,male,W_NL
Jason Eisner,male,W_NL
Prince Zizhuang Wang,male,A
William Yang Wang,male,A
Mohammad-Ali Yaghoub-Zadeh-Fard,male,A
Boualem Benatallah,male,A
Moshe Chai Barukh,male,A
Shayan Zamanirad,male,A
Abdalghani Abujabal,male,A
Rishiraj Saha Roy,male,A
Mohamed Yahya,male,A
Gerhard Weikum,male,W_NL
Kelvin Jiang,male,A
Dekun Wu,male,A
Hui Jiang,male,A
Wenbo Zhao,male,A
Tagyoung Chung,male,A
Anuj Goyal,male,A
Angeliki Metallinou,female,A
Jianmo Ni,male,A
Chenguang Zhu,male,A
Weizhu Chen,female,A
Julian McAuley,male,W_NL
Zi-Yuan Chen,male,A
Chih-Hung Chang,male,A
Yi-Pei Chen,female,A
Jijnasa Nayak,female,A
Lun-Wei Ku,female,A
Yu Cao,male,A
Meng Fang,male,A
Dacheng Tao,male,A
Radu Tudor Ionescu,male,A
Andrei Butnaru,male,A
Md Shad Akhtar,male,A
Dushyant Chauhan,male,A
Deepanway Ghosal,male,A
Soujanya Poria,female,A
Asif Ekbal,male,A
Pushpak Bhattacharyya,male,A
Chi Sun,female,A
Luyao Huang,female,A
Xipeng Qiu,male,A
Ziqian Zeng,male,A
Wenxuan Zhou,male,A
Xin Liu,female,A
Yangqiu Song,male,A
Wenxiang Jiao,male,A
Haiqin Yang,female,A
Irwin King,male,B_NL
Michael R. Lyu,male,A
Nicolas Pröllochs,male,W_NL
Stefan Feuerriegel,male,W_NL
Dirk Neumann,male,W_NL
Timothy Miller,male,W_NL
Yanlin Feng,male,A
Xiaojun Wan,male,A
Inigo Jauregi Unanue,male,A
Ehsan Zare Borzeshi,male,A
Nazanin Esmaili,male,A
Massimo Piccardi,male,HL
Reuben Cohn-Gordon,male,B_NL
Noah Goodman,male,W_NL
Xing Niu,male,A
Weijia Xu,female,A
Marine Carpuat,female,W_NL
Kai Song,male,A
Yue Zhang,female,A
Heng Yu,male,A
Weihua Luo,female,A
Kun Wang,male,A
Min Zhang,male,A
Noa Yehezkel Lubin,female,HL
Jacob Goldberger,male,W_NL
Yoav Goldberg,male,W_NL
Guanlin Li,male,A
Lemao Liu,male,A
Xintong Li,female,A
Conghui Zhu,female,A
Tiejun Zhao,male,A
Shuming Shi,male,A
Daniel Hershcovich,male,W_NL
Omri Abend,male,A
Ari Rappoport,male,W_NL
Timo Schick,male,W_NL
Hinrich Schütze,male,W_NL
Remi Mir,male,A
Bjarke Felbo,male,W_NL
Nick Obradovich,male,W_NL
Iyad Rahwan,male,A
Shima Asaadi,female,A
Saif Mohammad,male,A
Svetlana Kiritchenko,female,W_NL
Stefan Larson,male,W_NL
Anish Mahendran,male,A
Andrew Lee,male,A
Jonathan K. Kummerfeld,male,W_NL
Parker Hill,male,B_NL
Michael A. Laurenzano,male,W_NL
Johann Hauswald,male,W_NL
Lingjia Tang,female,A
Jason Mars,male,W_NL
Liye Fu,female,A
Jonathan P. Chang,male,A
Cristian Danescu-Niculescu-Mizil,male,HL
Sihao Chen,male,A
Daniel Khashabi,male,A
Wenpeng Yin,male,A
Chris Callison-Burch,male,W_NL
Dan Roth,male,W_NL
Tuhin Chakrabarty,male,A
Christopher Hidey,male,W_NL
Kathy McKeown,female,W_NL
Rashmi Gangadharaiah,male,A
Balakrishnan Narayanaswamy,male,A
Malihe Alikhani,female,A
Sreyasi Nag Chowdhury,male,A
Gerard de Melo,male,HL
Matthew Stone,male,W_NL
Sanuj Sharma,male,A
Prafulla Kumar Choubey,male,A
Ruihong Huang,female,A
Satwik Kottur,male,A
José M. F. Moura,male,HL
Devi Parikh,female,A
Dhruv Batra,male,A
Marcus Rohrbach,male,W_NL
Jesse Mu,male,A
Helen Yannakoudakis,female,W_NL
Ekaterina Shutova,female,A
Michael Wiegand,male,W_NL
Josef Ruppenhofer,male,W_NL
Thomas Kleinbauer,male,W_NL
Hila Gonen,female,A
Yoav Goldberg,male,W_NL
Thomas Manzini,male,W_NL
Lim Yao Chong,male,A
Alan W Black,male,W_NL
Yulia Tsvetkov,male,A
Chandler May,male,A
Alex Wang,male,A
Shikha Bordia,female,A
